"Kod";"Nazwa";"ludność korzystająca z sieci gazowej;2020;[osoba]";
3002083;"Wieleń (3)";76;
3002084;"Wieleń - miasto (4)";49;
3002085;"Wieleń - obszar wiejski (5)";27;
3003000;"Powiat gnieźnieński";75835;
3003011;"Gniezno (1)";58543;
3003023;"Czerniejewo (3)";885;
3003024;"Czerniejewo - miasto (4)";439;
3003025;"Czerniejewo - obszar wiejski (5)";446;
3003032;"Gniezno (2)";6540;
3003042;"Kiszkowo (2)";850;
3003053;"Kłecko (3)";482;
3003054;"Kłecko - miasto (4)";343;
3003055;"Kłecko - obszar wiejski (5)";139;
3003062;"Łubowo (2)";4937;
3003072;"Mieleszyn (2)";100;
3003082;"Niechanowo (2)";1094;
3003093;"Trzemeszno (3)";1478;
3003094;"Trzemeszno - miasto (4)";1254;
3003095;"Trzemeszno - obszar wiejski (5)";224;
3003103;"Witkowo (3)";926;
3003104;"Witkowo - miasto (4)";794;
3003105;"Witkowo - obszar wiejski (5)";132;
3004000;"Powiat gostyński";49738;
3004013;"Borek Wielkopolski (3)";3817;
3004014;"Borek Wielkopolski - miasto (4)";2492;
3004015;"Borek Wielkopolski - obszar wiejski (5)";1325;
3004023;"Gostyń (3)";22244;
3004024;"Gostyń - miasto (4)";18969;
3004025;"Gostyń - obszar wiejski (5)";3275;
3004033;"Krobia (3)";9833;
3004034;"Krobia - miasto (4)";4235;
3004035;"Krobia - obszar wiejski (5)";5598;
3004042;"Pępowo (2)";3102;
3004052;"Piaski (2)";5657;
3004063;"Pogorzela (3)";1893;
3004064;"Pogorzela - miasto (4)";972;
3004065;"Pogorzela - obszar wiejski (5)";921;
3004073;"Poniec (3)";3192;
3004074;"Poniec - miasto (4)";2555;
3004075;"Poniec - obszar wiejski (5)";637;
3005000;"Powiat grodziski";34372;
3005012;"Granowo (2)";3899;
3005023;"Grodzisk Wielkopolski (3)";15227;
3005024;"Grodzisk Wielkopolski - miasto (4)";11932;
3005025;"Grodzisk Wielkopolski - obszar wiejski (5)";3295;
3005032;"Kamieniec (2)";4079;
3005043;"Rakoniewice (3)";8218;
3005044;"Rakoniewice - miasto (4)";3384;
3005045;"Rakoniewice - obszar wiejski (5)";4834;
3005053;"Wielichowo (3)";2949;
3005054;"Wielichowo - miasto (4)";1211;
3005055;"Wielichowo - obszar wiejski (5)";1738;
3006000;"Powiat jarociński";33381;
3006013;"Jaraczewo (3)";1545;
3006014;"Jaraczewo - miasto (4)";371;
3006015;"Jaraczewo - obszar wiejski (5)";1174;
3006023;"Jarocin (3)";27405;
3006024;"Jarocin - miasto (4)";21305;
3006025;"Jarocin - obszar wiejski (5)";6100;
3006032;"Kotlin (2)";1330;
3006043;"Żerków (3)";3101;
3006044;"Żerków - miasto (4)";1360;
3006045;"Żerków - obszar wiejski (5)";1741;
3007000;"Powiat kaliski";12454;
3007012;"Blizanów (2)";2294;
3007032;"Ceków-Kolonia (2)";587;
3007042;"Godziesze Wielkie (2)";492;
3007052;"Koźminek (2)";175;
3007062;"Lisków (2)";808;
3007083;"Opatówek (3)";5994;
3007084;"Opatówek - miasto (4)";2025;
3007085;"Opatówek - obszar wiejski (5)";3969;
3007102;"Szczytniki (2)";4;
3007112;"Żelazków (2)";2100;
3008000;"Powiat kępiński";15733;
3008012;"Baranów (2)";1949;
3008022;"Bralin (2)";28;
3008033;"Kępno (3)";13464;
3008034;"Kępno - miasto (4)";11445;
3008035;"Kępno - obszar wiejski (5)";2019;
3008062;"Rychtal (2)";3;
3008072;"Trzcinica (2)";289;
3009000;"Powiat kolski";4399;
3009011;"Koło (1)";2292;
3009022;"Babiak (2)";604;
3009072;"Koło (2)";269;
3009082;"Kościelec (2)";976;
3009102;"Osiek Mały (2)";258;
3010000;"Powiat koniński";7875;
3010013;"Golina (3)";1240;
3010014;"Golina - miasto (4)";131;
3010015;"Golina - obszar wiejski (5)";1109;
3010032;"Kazimierz Biskupi (2)";1267;
3010043;"Kleczew (3)";1265;
3010044;"Kleczew - miasto (4)";1232;
3010045;"Kleczew - obszar wiejski (5)";33;
3010052;"Kramsk (2)";219;
3010062;"Krzymów (2)";24;
3010073;"Rychwał (3)";8;
3010075;"Rychwał - obszar wiejski (5)";8;
3010112;"Stare Miasto (2)";3842;
3010132;"Wierzbinek (2)";10;
3011000;"Powiat kościański";43355;
3011011;"Kościan (1)";22460;
3011023;"Czempiń (3)";2980;
3011024;"Czempiń - miasto (4)";1424;
3011025;"Czempiń - obszar wiejski (5)";1556;
3011032;"Kościan (2)";10330;
3011043;"Krzywiń (3)";727;
3011045;"Krzywiń - obszar wiejski (5)";727;
3011053;"Śmigiel (3)";6858;
3011054;"Śmigiel - miasto (4)";4466;
3011055;"Śmigiel - obszar wiejski (5)";2392;
3012000;"Powiat krotoszyński";38605;
3012011;"Sulmierzyce (1)";1818;
3012023;"Kobylin (3)";2296;
3012024;"Kobylin - miasto (4)";1467;
3012025;"Kobylin - obszar wiejski (5)";829;
3012033;"Koźmin Wielkopolski (3)";5611;
3012034;"Koźmin Wielkopolski - miasto (4)";5510;
3012035;"Koźmin Wielkopolski - obszar wiejski (5)";101;
3012043;"Krotoszyn (3)";23480;
3012044;"Krotoszyn - miasto (4)";23144;
3012045;"Krotoszyn - obszar wiejski (5)";336;
3012063;"Zduny (3)";5400;
3012064;"Zduny - miasto (4)";3824;
3012065;"Zduny - obszar wiejski (5)";1576;
3013000;"Powiat leszczyński";17783;
3013012;"Krzemieniewo (2)";4864;
3013022;"Lipno (2)";2650;
3013033;"Osieczna (3)";1687;
3013034;"Osieczna - miasto (4)";753;
3013035;"Osieczna - obszar wiejski (5)";934;
3013043;"Rydzyna (3)";5572;
3013044;"Rydzyna - miasto (4)";2222;
3013045;"Rydzyna - obszar wiejski (5)";3350;
3013052;"Święciechowa (2)";2000;
3013072;"Włoszakowice (2)";1010;
3014000;"Powiat międzychodzki";13630;
3014022;"Kwilcz (2)";821;
3014033;"Międzychód (3)";11287;
3014034;"Międzychód - miasto (4)";9791;
3014035;"Międzychód - obszar wiejski (5)";1496;
3014043;"Sieraków (3)";1522;
3014044;"Sieraków - miasto (4)";1418;
3014045;"Sieraków - obszar wiejski (5)";104;
3015000;"Powiat nowotomyski";44824;
3015012;"Kuślin (2)";1146;
3015023;"Lwówek (3)";2592;
3015024;"Lwówek - miasto (4)";2505;
3015025;"Lwówek - obszar wiejski (5)";87;
3015032;"Miedzichowo (2)";169;
3015043;"Nowy Tomyśl (3)";18663;
3015044;"Nowy Tomyśl - miasto (4)";13565;
3015045;"Nowy Tomyśl - obszar wiejski (5)";5098;
3015053;"Opalenica (3)";11365;
3015054;"Opalenica - miasto (4)";7149;
3015055;"Opalenica - obszar wiejski (5)";4216;
3015063;"Zbąszyń (3)";10889;
3015064;"Zbąszyń - miasto (4)";6843;
3015065;"Zbąszyń - obszar wiejski (5)";4046;
3016000;"Powiat obornicki";33003;
3016013;"Oborniki (3)";21525;
3016014;"Oborniki - miasto (4)";16289;
3016015;"Oborniki - obszar wiejski (5)";5236;
3016023;"Rogoźno (3)";11478;
3016024;"Rogoźno - miasto (4)";9864;
3016025;"Rogoźno - obszar wiejski (5)";1614;
3017000;"Powiat ostrowski";77926;
3017011;"Ostrów Wielkopolski (1)";51171;
3017023;"Nowe Skalmierzyce (3)";6767;
3017024;"Nowe Skalmierzyce - miasto (4)";4114;
3017025;"Nowe Skalmierzyce - obszar wiejski (5)";2653;
3017033;"Odolanów (3)";9504;
3017034;"Odolanów - miasto (4)";4021;
3017035;"Odolanów - obszar wiejski (5)";5483;
3017042;"Ostrów Wielkopolski (2)";3097;
3017052;"Przygodzice (2)";5560;
3017063;"Raszków (3)";1082;
3017064;"Raszków - miasto (4)";92;
3017065;"Raszków - obszar wiejski (5)";990;
3017072;"Sieroszewice (2)";4;
3017082;"Sośnie (2)";741;
3018000;"Powiat ostrzeszowski";15526;
3018022;"Doruchów (2)";587;
3018033;"Grabów nad Prosną (3)";1524;
3018034;"Grabów nad Prosną - miasto (4)";952;
3018035;"Grabów nad Prosną - obszar wiejski (5)";572;
3018042;"Kobyla Góra (2)";734;
3018063;"Mikstat (3)";1383;
3018064;"Mikstat - miasto (4)";673;
3018065;"Mikstat - obszar wiejski (5)";710;
3018073;"Ostrzeszów (3)";11298;
3018074;"Ostrzeszów - miasto (4)";10305;
3018075;"Ostrzeszów - obszar wiejski (5)";993;
3019000;"Powiat pilski";80033;
3019011;"Piła (1)";60917;
3019022;"Białośliwie (2)";855;
3019032;"Kaczory (2)";4432;
3019043;"Łobżenica (3)";2764;
3019044;"Łobżenica - miasto (4)";2659;
3019045;"Łobżenica - obszar wiejski (5)";105;
3019052;"Miasteczko Krajeńskie (2)";879;
3019062;"Szydłowo (2)";1800;
3019073;"Ujście (3)";2915;
3019074;"Ujście - miasto (4)";2915;
3019083;"Wyrzysk (3)";2408;
3019084;"Wyrzysk - miasto (4)";1714;
3019085;"Wyrzysk - obszar wiejski (5)";694;
3019093;"Wysoka (3)";3063;
3019094;"Wysoka - miasto (4)";2486;
3019095;"Wysoka - obszar wiejski (5)";577;
3020000;"Powiat pleszewski";12155;
3020013;"Chocz (3)";4;
3020015;"Chocz - obszar wiejski (5)";4;
3020033;"Dobrzyca (3)";894;
3020034;"Dobrzyca - miasto (4)";646;
3020035;"Dobrzyca - obszar wiejski (5)";248;
3020052;"Gołuchów (2)";7394;
3020063;"Pleszew (3)";3863;
3020064;"Pleszew - miasto (4)";3465;
3020065;"Pleszew - obszar wiejski (5)";398;
3021000;"Powiat poznański";332688;
3021011;"Luboń (1)";31587;
3021021;"Puszczykowo (1)";7218;
3021033;"Buk (3)";7286;
3021034;"Buk - miasto (4)";3107;
3021035;"Buk - obszar wiejski (5)";4179;
3021042;"Czerwonak (2)";18717;
3021052;"Dopiewo (2)";28816;
3021062;"Kleszczewo (2)";7846;
3021072;"Komorniki (2)";31179;
3021083;"Kostrzyn (3)";12478;
3021084;"Kostrzyn - miasto (4)";8336;
3021085;"Kostrzyn - obszar wiejski (5)";4142;
3021093;"Kórnik (3)";27696;
3021094;"Kórnik - miasto (4)";6825;
3021095;"Kórnik - obszar wiejski (5)";20871;
3021103;"Mosina (3)";19543;
3021104;"Mosina - miasto (4)";8848;
3021105;"Mosina - obszar wiejski (5)";10695;
3021113;"Murowana Goślina (3)";10187;
3021114;"Murowana Goślina - miasto (4)";8416;
3021115;"Murowana Goślina - obszar wiejski (5)";1771;
3021123;"Pobiedziska (3)";15089;
3021124;"Pobiedziska - miasto (4)";9211;
3021125;"Pobiedziska - obszar wiejski (5)";5878;
3021132;"Rokietnica (2)";16531;
3021143;"Stęszew (3)";11423;
3021144;"Stęszew - miasto (4)";4890;
3021145;"Stęszew - obszar wiejski (5)";6533;
3021152;"Suchy Las (2)";18420;
3021163;"Swarzędz (3)";42106;
3021164;"Swarzędz - miasto (4)";26265;
3021165;"Swarzędz - obszar wiejski (5)";15841;
3021172;"Tarnowo Podgórne (2)";26566;
3022000;"Powiat rawicki";31535;
3022013;"Bojanowo (3)";3550;
3022014;"Bojanowo - miasto (4)";2714;
3022015;"Bojanowo - obszar wiejski (5)";836;
3022023;"Jutrosin (3)";2567;
3022024;"Jutrosin - miasto (4)";1785;
3022025;"Jutrosin - obszar wiejski (5)";782;
3022033;"Miejska Górka (3)";3901;
3022034;"Miejska Górka - miasto (4)";2848;
3022035;"Miejska Górka - obszar wiejski (5)";1053;
3022042;"Pakosław (2)";2223;
3022053;"Rawicz (3)";19294;
3022054;"Rawicz - miasto (4)";16816;
3022055;"Rawicz - obszar wiejski (5)";2478;
3023000;"Powiat słupecki";2819;
3023011;"Słupca (1)";1261;
3023042;"Ostrowite (2)";3;
3023062;"Słupca (2)";113;
3023072;"Strzałkowo (2)";1442;
3024000;"Powiat szamotulski";36972;
3024022;"Duszniki (2)";4099;
3024032;"Kaźmierz (2)";4872;
3024042;"Obrzycko (2)";81;
3024053;"Ostroróg (3)";4;
3024055;"Ostroróg - obszar wiejski (5)";4;
3024063;"Pniewy (3)";6608;
3024064;"Pniewy - miasto (4)";6584;
3024065;"Pniewy - obszar wiejski (5)";24;
3024073;"Szamotuły (3)";9797;
3024074;"Szamotuły - miasto (4)";8050;
3024075;"Szamotuły - obszar wiejski (5)";1747;
3024083;"Wronki (3)";11511;
3024084;"Wronki - miasto (4)";10976;
3024085;"Wronki - obszar wiejski (5)";535;
3025000;"Powiat średzki";34726;
3025012;"Dominowo (2)";87;
3025022;"Krzykosy (2)";181;
3025032;"Nowe Miasto nad Wartą (2)";4442;
3025043;"Środa Wielkopolska (3)";25670;
3025044;"Środa Wielkopolska - miasto (4)";23193;
3025045;"Środa Wielkopolska - obszar wiejski (5)";2477;
3025052;"Zaniemyśl (2)";4346;
3026000;"Powiat śremski";36588;
3026012;"Brodnica (2)";350;
3026023;"Dolsk (3)";512;
3026024;"Dolsk - miasto (4)";399;
3026025;"Dolsk - obszar wiejski (5)";113;
3026033;"Książ Wielkopolski (3)";1949;
3026034;"Książ Wielkopolski - miasto (4)";1520;
3026035;"Książ Wielkopolski - obszar wiejski (5)";429;
3026043;"Śrem (3)";33777;
3026044;"Śrem - miasto (4)";28214;
3026045;"Śrem - obszar wiejski (5)";5563;
3027000;"Powiat turecki";4501;
3027011;"Turek (1)";4447;
3027082;"Turek (2)";54;
3028000;"Powiat wągrowiecki";22815;
3028011;"Wągrowiec (1)";20331;
3028033;"Gołańcz (3)";284;
3028034;"Gołańcz - miasto (4)";225;
3028035;"Gołańcz - obszar wiejski (5)";59;
3028042;"Mieścisko (2)";129;
3028053;"Skoki (3)";1711;
3028054;"Skoki - miasto (4)";1468;
3028055;"Skoki - obszar wiejski (5)";243;
3028072;"Wągrowiec (2)";360;
3029000;"Powiat wolsztyński";32913;
3029012;"Przemęt (2)";52;
3029022;"Siedlec (2)";9450;
3029033;"Wolsztyn (3)";23411;
3029034;"Wolsztyn - miasto (4)";12594;
3029035;"Wolsztyn - obszar wiejski (5)";10817;
3030000;"Powiat wrzesiński";22514;
3030023;"Miłosław (3)";745;
3030024;"Miłosław - miasto (4)";689;
3030025;"Miłosław - obszar wiejski (5)";56;
3030033;"Nekla (3)";2397;
3030034;"Nekla - miasto (4)";2131;
3030035;"Nekla - obszar wiejski (5)";266;
3030043;"Pyzdry (3)";14;
3030045;"Pyzdry - obszar wiejski (5)";14;
3030053;"Września (3)";19358;
3030054;"Września - miasto (4)";16943;
3030055;"Września - obszar wiejski (5)";2415;
3031000;"Powiat złotowski";10959;
3031011;"Złotów (1)";2986;
3031023;"Jastrowie (3)";2667;
3031024;"Jastrowie - miasto (4)";2667;
3031033;"Krajenka (3)";3615;
3031034;"Krajenka - miasto (4)";3195;
3031035;"Krajenka - obszar wiejski (5)";420;
3031042;"Lipka (2)";71;
3031053;"Okonek (3)";1421;
3031054;"Okonek - miasto (4)";849;
3031055;"Okonek - obszar wiejski (5)";572;
3031082;"Złotów (2)";199;
3061000;"Powiat m.Kalisz";73951;
3061011;"Kalisz (1)";73951;
3062000;"Powiat m.Konin";23984;
3062011;"Konin (1)";23984;
3063000;"Powiat m.Leszno";48328;
3063011;"Leszno (1)";48328;
3064000;"Powiat m.Poznań";442102;
3064011;"Poznań (1)";442102;
3200000;"ZACHODNIOPOMORSKIE";1029519;
3201000;"Powiat białogardzki";14405;
3201011;"Białogard (1)";11572;
3201022;"Białogard (2)";226;
3201033;"Karlino (3)";2598;
3201034;"Karlino - miasto (4)";2227;
3201035;"Karlino - obszar wiejski (5)";371;
3201043;"Tychowo (3)";9;
3201045;"Tychowo - obszar wiejski (5)";9;
3202000;"Powiat choszczeński";24422;
3202023;"Choszczno (3)";15417;
3202024;"Choszczno - miasto (4)";14267;
3202025;"Choszczno - obszar wiejski (5)";1150;
3202033;"Drawno (3)";2043;
3202034;"Drawno - miasto (4)";1712;
3202035;"Drawno - obszar wiejski (5)";331;
3202042;"Krzęcin (2)";1437;
3202053;"Pełczyce (3)";3070;
3202054;"Pełczyce - miasto (4)";2280;
3202055;"Pełczyce - obszar wiejski (5)";790;
3202063;"Recz (3)";2455;
3202064;"Recz - miasto (4)";2286;
3202065;"Recz - obszar wiejski (5)";169;
3203000;"Powiat drawski";31240;
3203013;"Czaplinek (3)";6320;
3203014;"Czaplinek - miasto (4)";6320;
3203023;"Drawsko Pomorskie (3)";11451;
3203024;"Drawsko Pomorskie - miasto (4)";10676;
3203025;"Drawsko Pomorskie - obszar wiejski (5)";775;
3203033;"Kalisz Pomorski (3)";2370;
3203034;"Kalisz Pomorski - miasto (4)";2220;
3203035;"Kalisz Pomorski - obszar wiejski (5)";150;
3203052;"Wierzchowo (2)";343;
3203063;"Złocieniec (3)";10756;
3203064;"Złocieniec - miasto (4)";10547;
3203065;"Złocieniec - obszar wiejski (5)";209;
3204000;"Powiat goleniowski";45333;
3204023;"Goleniów (3)";22167;
3204024;"Goleniów - miasto (4)";16949;
3204025;"Goleniów - obszar wiejski (5)";5218;
3204033;"Maszewo (3)";2671;
3204034;"Maszewo - miasto (4)";2025;
3204035;"Maszewo - obszar wiejski (5)";646;
3204043;"Nowogard (3)";14263;
3204044;"Nowogard - miasto (4)";14232;
3204045;"Nowogard - obszar wiejski (5)";31;
3204052;"Osina (2)";1969;
3204062;"Przybiernów (2)";1091;
3204073;"Stepnica (3)";3172;
3204074;"Stepnica - miasto (4)";2073;
3204075;"Stepnica - obszar wiejski (5)";1099;
3205000;"Powiat gryficki";38455;
3205023;"Gryfice (3)";17118;
3205024;"Gryfice - miasto (4)";15236;
3205025;"Gryfice - obszar wiejski (5)";1882;
3205032;"Karnice (2)";183;
3205043;"Płoty (3)";3229;
3205044;"Płoty - miasto (4)";3034;
3205045;"Płoty - obszar wiejski (5)";195;
3205072;"Rewal (2)";3036;
3205083;"Trzebiatów (3)";14889;
3205084;"Trzebiatów - miasto (4)";9827;
3205085;"Trzebiatów - obszar wiejski (5)";5062;
3206000;"Powiat gryfiński";26912;
3206033;"Chojna (3)";288;
3206034;"Chojna - miasto (4)";288;
3206043;"Gryfino (3)";21082;
3206044;"Gryfino - miasto (4)";18447;
3206045;"Gryfino - obszar wiejski (5)";2635;
3206053;"Mieszkowice (3)";3540;
3206054;"Mieszkowice - miasto (4)";3231;
3206055;"Mieszkowice - obszar wiejski (5)";309;
3206072;"Stare Czarnowo (2)";1999;
3206092;"Widuchowa (2)";3;
3207000;"Powiat kamieński";19196;
3207013;"Dziwnów (3)";2926;
3207014;"Dziwnów - miasto (4)";2439;
3207015;"Dziwnów - obszar wiejski (5)";487;
3207023;"Golczewo (3)";2652;
3207024;"Golczewo - miasto (4)";2636;
3207025;"Golczewo - obszar wiejski (5)";16;
3207033;"Kamień Pomorski (3)";5909;
3207034;"Kamień Pomorski - miasto (4)";4750;
3207035;"Kamień Pomorski - obszar wiejski (5)";1159;
3207043;"Międzyzdroje (3)";3219;
3207044;"Międzyzdroje - miasto (4)";2634;
3207045;"Międzyzdroje - obszar wiejski (5)";585;
3207052;"Świerzno (2)";1877;
3207063;"Wolin (3)";2613;
3207064;"Wolin - miasto (4)";2284;
3207065;"Wolin - obszar wiejski (5)";329;
3208000;"Powiat kołobrzeski";52071;
3208011;"Kołobrzeg (1)";33327;
3208022;"Dygowo (2)";3247;
3208033;"Gościno (3)";2628;
3208034;"Gościno - miasto (4)";2189;
3208035;"Gościno - obszar wiejski (5)";439;
3208042;"Kołobrzeg (2)";7976;
3208052;"Rymań (2)";951;
3208062;"Siemyśl (2)";1192;
3208072;"Ustronie Morskie (2)";2750;
3209000;"Powiat koszaliński";22685;
3209012;"Będzino (2)";3329;
3209022;"Biesiekierz (2)";5321;
3209033;"Bobolice (3)";848;
3209034;"Bobolice - miasto (4)";845;
3209035;"Bobolice - obszar wiejski (5)";3;
3209042;"Manowo (2)";2914;
3209053;"Mielno (3)";3007;
3209054;"Mielno - miasto (4)";2090;
3209055;"Mielno - obszar wiejski (5)";917;
3209063;"Polanów (3)";9;
3209064;"Polanów - miasto (4)";9;
3209073;"Sianów (3)";3052;
3209074;"Sianów - miasto (4)";2337;
3209075;"Sianów - obszar wiejski (5)";715;
3209082;"Świeszyno (2)";4205;
3210000;"Powiat myśliborski";29620;
3210013;"Barlinek (3)";13757;
3210014;"Barlinek - miasto (4)";12429;
3210015;"Barlinek - obszar wiejski (5)";1328;
3210033;"Dębno (3)";13338;
3210034;"Dębno - miasto (4)";13003;
3210035;"Dębno - obszar wiejski (5)";335;
3210043;"Myślibórz (3)";2525;
3210044;"Myślibórz - miasto (4)";1942;
3210045;"Myślibórz - obszar wiejski (5)";583;
3211000;"Powiat policki";63594;
3211012;"Dobra (Szczecińska) (2)";23312;
3211022;"Kołbaskowo (2)";6696;
3211043;"Police (3)";33586;
3211044;"Police - miasto (4)";28147;
3211045;"Police - obszar wiejski (5)";5439;
3212000;"Powiat pyrzycki";18563;
3212012;"Bielice (2)";50;
3212022;"Kozielice (2)";10;
3212033;"Lipiany (3)";1036;
3212034;"Lipiany - miasto (4)";1029;
3212035;"Lipiany - obszar wiejski (5)";7;
3212042;"Przelewice (2)";2668;
3212053;"Pyrzyce (3)";14377;
3212054;"Pyrzyce - miasto (4)";11049;
3212055;"Pyrzyce - obszar wiejski (5)";3328;
3212062;"Warnice (2)";422;
3213000;"Powiat sławieński";23724;
3213011;"Darłowo (1)";12497;
3213021;"Sławno (1)";10656;
3213032;"Darłowo (2)";246;
3213042;"Malechowo (2)";268;
3213052;"Postomino (2)";18;
3213062;"Sławno (2)";39;
3214000;"Powiat stargardzki";71455;
3214011;"Stargard (1)";60183;
3214042;"Dolice (2)";3605;
3214053;"Ińsko (3)";455;
3214054;"Ińsko - miasto (4)";455;
3214062;"Kobylanka (2)";4092;
3214102;"Stargard (2)";3120;
3215000;"Powiat szczecinecki";38017;
3215011;"Szczecinek (1)";35253;
3215023;"Barwice (3)";1479;
3215024;"Barwice - miasto (4)";1463;
3215025;"Barwice - obszar wiejski (5)";16;
3215033;"Biały Bór (3)";294;
3215034;"Biały Bór - miasto (4)";291;
3215035;"Biały Bór - obszar wiejski (5)";3;
3215043;"Borne Sulinowo (3)";427;
3215044;"Borne Sulinowo - miasto (4)";365;
3215045;"Borne Sulinowo - obszar wiejski (5)";62;
3215062;"Szczecinek (2)";564;
3216000;"Powiat świdwiński";20466;
3216011;"Świdwin (1)";14028;
3216022;"Brzeżno (2)";950;
3216033;"Połczyn-Zdrój (3)";3323;
3216034;"Połczyn-Zdrój - miasto (4)";2915;
3216035;"Połczyn-Zdrój - obszar wiejski (5)";408;
3216042;"Rąbino (2)";236;
3216052;"Sławoborze (2)";1045;
3216062;"Świdwin (2)";884;
3217000;"Powiat wałecki";25761;
3217011;"Wałcz (1)";21773;
3217033;"Mirosławiec (3)";3571;
3217034;"Mirosławiec - miasto (4)";2651;
3217035;"Mirosławiec - obszar wiejski (5)";920;
3217052;"Wałcz (2)";417;
3218000;"Powiat łobeski";12467;
3218023;"Łobez (3)";7416;
3218024;"Łobez - miasto (4)";7318;
3218025;"Łobez - obszar wiejski (5)";98;
3218043;"Resko (3)";2628;
3218044;"Resko - miasto (4)";2278;
3218045;"Resko - obszar wiejski (5)";350;
3218053;"Węgorzyno (3)";2423;
3218054;"Węgorzyno - miasto (4)";2417;
3218055;"Węgorzyno - obszar wiejski (5)";6;
3261000;"Powiat m.Koszalin";90977;
3261011;"Koszalin (1)";90977;
3262000;"Powiat m.Szczecin";330711;
3262011;"Szczecin (1)";330711;
3263000;"Powiat m.Świnoujście";29445;
3263011;"Świnoujście (1)";29445;
