"Kod";"Nazwa";"stadiony;ogółem;2018;[ob.]";"hale sportowe o wymiarach od 36x19 m;ogółem;2018;[ob.]";"sale gimnastyczne o wymiarach poniżej 36x19 m i sale pomocnicze;ogółem;2018;[ob.]";"korty tenisowe;ogółem;2018;[ob.]";"pływalnie kryte;ogółem;2018;[ob.]";
1806023;"Kolbuszowa (3)";1;0;0;0;1;
1806024;"Kolbuszowa - miasto (4)";1;0;0;0;1;
1806032;"Majdan Królewski (2)";2;0;0;0;0;
1806042;"Niwiska (2)";8;0;0;0;0;
1806052;"Raniżów (2)";1;0;0;1;0;
1806062;"Dzikowiec (2)";2;0;0;0;0;
1807000;"Powiat krośnieński";27;4;6;5;0;
1807012;"Chorkówka (2)";2;0;0;0;0;
1807033;"Iwonicz-Zdrój (3)";4;0;0;0;0;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";4;0;0;0;0;
1807043;"Jedlicze (3)";3;1;0;0;0;
1807044;"Jedlicze - miasto (4)";1;1;0;0;0;
1807045;"Jedlicze - obszar wiejski (5)";2;0;0;0;0;
1807052;"Korczyna (2)";5;0;0;1;0;
1807072;"Miejsce Piastowe (2)";4;2;4;1;0;
1807083;"Rymanów (3)";7;1;0;3;0;
1807084;"Rymanów - miasto (4)";2;0;0;2;0;
1807085;"Rymanów - obszar wiejski (5)";5;1;0;1;0;
1807092;"Wojaszówka (2)";2;0;1;0;0;
1807102;"Jaśliska (2)";0;0;1;0;0;
1808000;"Powiat leżajski";16;0;1;0;2;
1808011;"Leżajsk (1)";2;0;0;0;1;
1808022;"Grodzisko Dolne (2)";1;0;0;0;0;
1808032;"Kuryłówka (2)";1;0;0;0;0;
1808042;"Leżajsk (2)";4;0;0;0;0;
1808053;"Nowa Sarzyna (3)";8;0;1;0;1;
1808054;"Nowa Sarzyna - miasto (4)";2;0;1;0;1;
1808055;"Nowa Sarzyna - obszar wiejski (5)";6;0;0;0;0;
1809000;"Powiat lubaczowski";14;1;3;2;1;
1809011;"Lubaczów (1)";2;1;2;0;0;
1809023;"Cieszanów (3)";1;0;0;0;0;
1809024;"Cieszanów - miasto (4)";1;0;0;0;0;
1809032;"Horyniec-Zdrój (2)";1;0;0;0;1;
1809042;"Lubaczów (2)";8;0;0;0;0;
1809053;"Narol (3)";1;0;1;0;0;
1809054;"Narol - miasto (4)";1;0;0;0;0;
1809055;"Narol - obszar wiejski (5)";0;0;1;0;0;
1809063;"Oleszyce (3)";1;0;0;2;0;
1809064;"Oleszyce - miasto (4)";1;0;0;2;0;
1810000;"Powiat łańcucki";13;1;0;11;1;
1810011;"Łańcut (1)";1;1;0;7;1;
1810022;"Białobrzegi (2)";6;0;0;2;0;
1810032;"Czarna (2)";1;0;0;0;0;
1810042;"Łańcut (2)";1;0;0;0;0;
1810062;"Rakszawa (2)";1;0;0;0;0;
1810072;"Żołynia (2)";3;0;0;2;0;
1811000;"Powiat mielecki";19;2;1;11;0;
1811011;"Mielec (1)";6;2;1;8;0;
1811022;"Borowa (2)";1;0;0;1;0;
1811032;"Czermin (2)";2;0;0;0;0;
1811052;"Mielec (2)";1;0;0;1;0;
1811062;"Padew Narodowa (2)";0;0;0;1;0;
1811073;"Przecław (3)";1;0;0;0;0;
1811074;"Przecław - miasto (4)";1;0;0;0;0;
1811083;"Radomyśl Wielki (3)";2;0;0;0;0;
1811085;"Radomyśl Wielki - obszar wiejski (5)";2;0;0;0;0;
1811092;"Tuszów Narodowy (2)";6;0;0;0;0;
1812000;"Powiat niżański";12;1;1;14;0;
1812012;"Harasiuki (2)";0;0;0;7;0;
1812032;"Jeżowe (2)";3;0;1;0;0;
1812042;"Krzeszów (2)";7;0;0;1;0;
1812053;"Nisko (3)";1;0;0;1;0;
1812054;"Nisko - miasto (4)";1;0;0;0;0;
1812055;"Nisko - obszar wiejski (5)";0;0;0;1;0;
1812063;"Rudnik nad Sanem (3)";1;1;0;2;0;
1812064;"Rudnik nad Sanem - miasto (4)";1;1;0;2;0;
1812073;"Ulanów (3)";0;0;0;3;0;
1812074;"Ulanów - miasto (4)";0;0;0;3;0;
1813000;"Powiat przemyski";12;0;3;0;0;
1813042;"Krasiczyn (2)";0;0;1;0;0;
1813062;"Medyka (2)";1;0;0;0;0;
1813072;"Orły (2)";0;0;1;0;0;
1813082;"Przemyśl (2)";1;0;0;0;0;
1813092;"Stubno (2)";0;0;1;0;0;
1813102;"Żurawica (2)";10;0;0;0;0;
1814000;"Powiat przeworski";17;4;1;2;1;
1814011;"Przeworsk (1)";1;1;1;1;0;
1814022;"Adamówka (2)";2;0;0;0;0;
1814032;"Gać (2)";1;0;0;0;0;
1814042;"Jawornik Polski (2)";0;0;0;1;0;
1814053;"Kańczuga (3)";2;0;0;0;0;
1814054;"Kańczuga - miasto (4)";1;0;0;0;0;
1814055;"Kańczuga - obszar wiejski (5)";1;0;0;0;0;
1814062;"Przeworsk (2)";1;0;0;0;0;
1814073;"Sieniawa (3)";1;2;0;0;1;
1814074;"Sieniawa - miasto (4)";1;2;0;0;1;
1814082;"Tryńcza (2)";5;0;0;0;0;
1814092;"Zarzecze (2)";4;1;0;0;0;
1815000;"Powiat ropczycko-sędziszowski";11;0;1;2;1;
1815012;"Iwierzyce (2)";3;0;0;0;0;
1815033;"Ropczyce (3)";5;0;0;2;1;
1815034;"Ropczyce - miasto (4)";1;0;0;2;1;
1815035;"Ropczyce - obszar wiejski (5)";4;0;0;0;0;
1815043;"Sędziszów Małopolski (3)";2;0;1;0;0;
1815044;"Sędziszów Małopolski - miasto (4)";1;0;0;0;0;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";1;0;1;0;0;
1815052;"Wielopole Skrzyńskie (2)";1;0;0;0;0;
1816000;"Powiat rzeszowski";42;3;9;11;4;
1816011;"Dynów (1)";1;0;0;1;0;
1816023;"Błażowa (3)";2;0;0;0;0;
1816024;"Błażowa - miasto (4)";1;0;0;0;0;
1816025;"Błażowa - obszar wiejski (5)";1;0;0;0;0;
1816033;"Boguchwała (3)";7;0;0;1;0;
1816034;"Boguchwała - miasto (4)";1;0;0;0;0;
1816035;"Boguchwała - obszar wiejski (5)";6;0;0;1;0;
1816042;"Chmielnik (2)";1;0;0;0;0;
1816052;"Dynów (2)";3;0;0;1;0;
1816063;"Głogów Małopolski (3)";0;0;0;3;1;
1816064;"Głogów Małopolski - miasto (4)";0;0;0;2;1;
1816065;"Głogów Małopolski - obszar wiejski (5)";0;0;0;1;0;
1816082;"Kamień (2)";1;0;0;0;0;
1816092;"Krasne (2)";3;0;0;0;0;
1816102;"Lubenia (2)";1;0;0;0;0;
1816113;"Sokołów Małopolski (3)";4;0;0;0;1;
1816114;"Sokołów Małopolski - miasto (4)";0;0;0;0;1;
1816115;"Sokołów Małopolski - obszar wiejski (5)";4;0;0;0;0;
1816122;"Świlcza (2)";15;2;9;3;0;
1816132;"Trzebownisko (2)";3;0;0;2;2;
1816143;"Tyczyn (3)";1;1;0;0;0;
1816145;"Tyczyn - obszar wiejski (5)";1;1;0;0;0;
1817000;"Powiat sanocki";14;4;1;5;1;
1817011;"Sanok (1)";1;1;0;5;1;
1817022;"Besko (2)";3;1;0;0;0;
1817032;"Bukowsko (2)";3;0;0;0;0;
1817042;"Komańcza (2)";1;0;0;0;0;
1817052;"Sanok (2)";4;2;0;0;0;
1817062;"Tyrawa Wołoska (2)";0;0;1;0;0;
1817073;"Zagórz (3)";1;0;0;0;0;
1817075;"Zagórz - obszar wiejski (5)";1;0;0;0;0;
1817082;"Zarszyn (2)";1;0;0;0;0;
1818000;"Powiat stalowowolski";7;1;3;17;3;
1818011;"Stalowa Wola (1)";2;0;3;16;3;
1818022;"Bojanów (2)";3;1;0;0;0;
1818032;"Pysznica (2)";0;0;0;1;0;
1818062;"Zaleszany (2)";2;0;0;0;0;
1819000;"Powiat strzyżowski";2;0;1;3;1;
1819012;"Czudec (2)";0;0;0;1;0;
1819022;"Frysztak (2)";0;0;1;1;0;
1819043;"Strzyżów (3)";1;0;0;1;1;
1819044;"Strzyżów - miasto (4)";1;0;0;1;1;
1819052;"Wiśniowa (2)";1;0;0;0;0;
1820000;"Powiat tarnobrzeski";9;0;0;3;1;
1820013;"Baranów Sandomierski (3)";5;0;0;1;0;
1820015;"Baranów Sandomierski - obszar wiejski (5)";5;0;0;1;0;
1820022;"Gorzyce (2)";2;0;0;0;0;
1820032;"Grębów (2)";1;0;0;0;0;
1820043;"Nowa Dęba (3)";1;0;0;2;1;
1820044;"Nowa Dęba - miasto (4)";1;0;0;2;1;
1821000;"Powiat leski";2;1;2;3;3;
1821012;"Baligród (2)";1;0;0;0;0;
1821022;"Cisna (2)";0;0;1;0;0;
1821033;"Lesko (3)";0;0;1;0;1;
1821034;"Lesko - miasto (4)";0;0;0;0;1;
1821035;"Lesko - obszar wiejski (5)";0;0;1;0;0;
1821042;"Olszanica (2)";1;0;0;0;0;
1821052;"Solina (2)";0;1;0;3;2;
1861000;"Powiat m.Krosno";2;1;10;8;2;
1861011;"Krosno (1)";2;1;10;8;2;
1862000;"Powiat m.Przemyśl";1;1;0;4;2;
1862011;"Przemyśl (1)";1;1;0;4;2;
1863000;"Powiat m.Rzeszów";4;7;10;17;4;
1863011;"Rzeszów (1)";4;7;10;17;4;
1864000;"Powiat m.Tarnobrzeg";1;1;1;4;1;
1864011;"Tarnobrzeg (1)";1;1;1;4;1;
2000000;"PODLASKIE";51;16;29;33;19;
2001000;"Powiat augustowski";1;1;0;2;1;
2001011;"Augustów (1)";1;0;0;1;1;
2001052;"Nowinka (2)";0;1;0;0;0;
2001062;"Płaska (2)";0;0;0;1;0;
2002000;"Powiat białostocki";10;0;2;5;1;
2002013;"Choroszcz (3)";1;0;0;0;0;
2002014;"Choroszcz - miasto (4)";1;0;0;0;0;
2002023;"Czarna Białostocka (3)";1;0;1;1;0;
2002024;"Czarna Białostocka - miasto (4)";1;0;1;1;0;
2002032;"Dobrzyniewo Duże (2)";1;0;0;0;0;
2002042;"Gródek (2)";1;0;0;0;0;
2002052;"Juchnowiec Kościelny (2)";1;0;0;0;0;
2002063;"Łapy (3)";1;0;0;0;0;
2002064;"Łapy - miasto (4)";1;0;0;0;0;
2002073;"Michałowo (3)";0;0;0;0;1;
2002074;"Michałowo - miasto (4)";0;0;0;0;1;
2002082;"Poświętne (2)";0;0;1;1;0;
2002093;"Supraśl (3)";1;0;0;0;0;
2002094;"Supraśl - miasto (4)";1;0;0;0;0;
2002103;"Suraż (3)";1;0;0;0;0;
2002104;"Suraż - miasto (4)";1;0;0;0;0;
2002112;"Turośń Kościelna (2)";1;0;0;1;0;
2002123;"Tykocin (3)";1;0;0;1;0;
2002124;"Tykocin - miasto (4)";1;0;0;1;0;
2002133;"Wasilków (3)";0;0;0;1;0;
2002134;"Wasilków - miasto (4)";0;0;0;1;0;
2003000;"Powiat bielski";1;0;0;0;0;
2003011;"Bielsk Podlaski (1)";1;0;0;0;0;
2004000;"Powiat grajewski";2;1;0;0;1;
2004011;"Grajewo (1)";1;1;0;0;1;
2004053;"Szczuczyn (3)";1;0;0;0;0;
2004054;"Szczuczyn - miasto (4)";1;0;0;0;0;
2005000;"Powiat hajnowski";6;0;2;4;1;
2005011;"Hajnówka (1)";1;0;0;1;1;
2005022;"Białowieża (2)";1;0;1;0;0;
2005032;"Czeremcha (2)";1;0;0;0;0;
2005052;"Dubicze Cerkiewne (2)";0;0;1;0;0;
2005082;"Narew (2)";1;0;0;0;0;
2005092;"Narewka (2)";2;0;0;3;0;
2006000;"Powiat kolneński";3;2;5;0;2;
2006011;"Kolno (1)";2;2;2;0;2;
2006032;"Kolno (2)";0;0;3;0;0;
2006053;"Stawiski (3)";1;0;0;0;0;
2006054;"Stawiski - miasto (4)";1;0;0;0;0;
2007000;"Powiat łomżyński";3;1;1;1;0;
2007022;"Łomża (2)";0;0;1;0;0;
2007052;"Piątnica (2)";1;1;0;1;0;
2007072;"Śniadowo (2)";2;0;0;0;0;
2008000;"Powiat moniecki";1;2;2;2;1;
2008022;"Jasionówka (2)";0;0;1;1;0;
2008043;"Knyszyn (3)";0;0;0;1;0;
2008044;"Knyszyn - miasto (4)";0;0;0;1;0;
2008052;"Krypno (2)";0;1;0;0;0;
2008063;"Mońki (3)";1;1;1;0;1;
2008064;"Mońki - miasto (4)";1;1;1;0;1;
2009000;"Powiat sejneński";2;2;1;0;0;
2009011;"Sejny (1)";1;0;1;0;0;
2009022;"Giby (2)";1;1;0;0;0;
2009032;"Krasnopol (2)";0;1;0;0;0;
2010000;"Powiat siemiatycki";5;1;1;1;0;
2010011;"Siemiatycze (1)";2;1;1;1;0;
2010052;"Mielnik (2)";2;0;0;0;0;
2010072;"Nurzec-Stacja (2)";1;0;0;0;0;
2011000;"Powiat sokólski";4;0;0;3;1;
2011013;"Dąbrowa Białostocka (3)";1;0;0;0;0;
2011014;"Dąbrowa Białostocka - miasto (4)";1;0;0;0;0;
2011032;"Korycin (2)";0;0;0;1;0;
2011062;"Nowy Dwór (2)";1;0;0;0;0;
2011083;"Sokółka (3)";1;0;0;2;1;
2011084;"Sokółka - miasto (4)";1;0;0;2;1;
2011093;"Suchowola (3)";1;0;0;0;0;
2011094;"Suchowola - miasto (4)";1;0;0;0;0;
2012000;"Powiat suwalski";0;1;1;0;0;
2012042;"Przerośl (2)";0;0;1;0;0;
2012052;"Raczki (2)";0;1;0;0;0;
2013000;"Powiat wysokomazowiecki";4;0;1;3;1;
2013011;"Wysokie Mazowieckie (1)";1;0;0;2;1;
2013023;"Ciechanowiec (3)";1;0;1;0;0;
2013024;"Ciechanowiec - miasto (4)";1;0;1;0;0;
2013033;"Czyżew (3)";1;0;0;0;0;
2013034;"Czyżew - miasto (4)";1;0;0;0;0;
2013093;"Szepietowo (3)";1;0;0;1;0;
2013094;"Szepietowo - miasto (4)";1;0;0;1;0;
2014000;"Powiat zambrowski";1;2;0;1;1;
2014011;"Zambrów (1)";1;2;0;1;1;
2061000;"Powiat m.Białystok";5;2;12;2;6;
2061011;"Białystok (1)";5;2;12;2;6;
2062000;"Powiat m.Łomża";1;0;0;4;2;
2062011;"Łomża (1)";1;0;0;4;2;
2063000;"Powiat m.Suwałki";2;1;1;5;1;
2063011;"Suwałki (1)";2;1;1;5;1;
2200000;"POMORSKIE";121;72;88;186;23;
2201000;"Powiat bytowski";4;1;5;4;0;
2201023;"Bytów (3)";1;0;1;0;0;
2201024;"Bytów - miasto (4)";1;0;1;0;0;
2201052;"Lipnica (2)";1;0;0;1;0;
2201063;"Miastko (3)";1;1;1;2;0;
2201064;"Miastko - miasto (4)";1;1;1;2;0;
2201082;"Studzienice (2)";1;0;0;0;0;
2201092;"Trzebielino (2)";0;0;3;1;0;
2202000;"Powiat chojnicki";5;1;0;1;0;
2202011;"Chojnice (1)";2;1;0;1;0;
2202023;"Brusy (3)";1;0;0;0;0;
2202024;"Brusy - miasto (4)";1;0;0;0;0;
2202043;"Czersk (3)";2;0;0;0;0;
2202044;"Czersk - miasto (4)";2;0;0;0;0;
2203000;"Powiat człuchowski";8;1;2;4;0;
2203011;"Człuchów (1)";2;1;1;1;0;
2203032;"Człuchów (2)";2;0;0;0;0;
2203043;"Debrzno (3)";1;0;0;2;0;
2203044;"Debrzno - miasto (4)";1;0;0;2;0;
2203062;"Przechlewo (2)";2;0;0;1;0;
2203072;"Rzeczenica (2)";1;0;1;0;0;
2204000;"Powiat gdański";4;2;0;1;0;
2204011;"Pruszcz Gdański (1)";2;1;0;0;0;
2204022;"Cedry Wielkie (2)";1;0;0;0;0;
2204032;"Kolbudy (2)";0;0;0;1;0;
2204052;"Przywidz (2)";0;1;0;0;0;
2204062;"Pszczółki (2)";1;0;0;0;0;
2205000;"Powiat kartuski";7;4;7;2;2;
2205012;"Chmielno (2)";1;0;0;0;0;
2205023;"Kartuzy (3)";2;0;1;0;2;
2205024;"Kartuzy - miasto (4)";1;0;1;0;2;
2205025;"Kartuzy - obszar wiejski (5)";1;0;0;0;0;
2205032;"Przodkowo (2)";0;0;1;0;0;
2205042;"Sierakowice (2)";1;0;0;0;0;
2205052;"Somonino (2)";0;1;2;1;0;
2205062;"Stężyca (2)";1;3;3;1;0;
2205072;"Sulęczyno (2)";2;0;0;0;0;
2206000;"Powiat kościerski";6;4;3;2;0;
2206011;"Kościerzyna (1)";2;0;0;0;0;
2206032;"Karsin (2)";0;1;0;0;0;
2206042;"Kościerzyna (2)";0;2;1;0;0;
2206052;"Liniewo (2)";0;0;2;2;0;
2206062;"Lipusz (2)";1;0;0;0;0;
2206082;"Stara Kiszewa (2)";3;1;0;0;0;
2207000;"Powiat kwidzyński";12;6;8;2;2;
2207011;"Kwidzyn (1)";1;4;7;2;2;
2207032;"Kwidzyn (2)";1;0;1;0;0;
2207043;"Prabuty (3)";7;2;0;0;0;
2207044;"Prabuty - miasto (4)";7;2;0;0;0;
2207052;"Ryjewo (2)";1;0;0;0;0;
2207062;"Sadlinki (2)";2;0;0;0;0;
2208000;"Powiat lęborski";2;1;0;7;1;
2208011;"Lębork (1)";1;1;0;7;1;
2208032;"Cewice (2)";1;0;0;0;0;
2209000;"Powiat malborski";4;2;1;7;0;
2209011;"Malbork (1)";1;2;0;4;0;
2209032;"Lichnowy (2)";0;0;0;2;0;
2209042;"Malbork (2)";0;0;1;0;0;
2209073;"Nowy Staw (3)";3;0;0;0;0;
2209074;"Nowy Staw - miasto (4)";3;0;0;0;0;
2209082;"Stare Pole (2)";0;0;0;1;0;
2210000;"Powiat nowodworski";3;1;0;5;1;
2210011;"Krynica Morska (1)";0;0;0;1;0;
2210023;"Nowy Dwór Gdański (3)";1;0;0;0;0;
2210024;"Nowy Dwór Gdański - miasto (4)";1;0;0;0;0;
2210032;"Ostaszewo (2)";2;1;0;2;0;
2210042;"Stegna (2)";0;0;0;2;1;
2211000;"Powiat pucki";8;7;4;5;1;
2211011;"Hel (1)";0;1;1;0;0;
2211023;"Jastarnia (3)";0;1;0;0;0;
2211024;"Jastarnia - miasto (4)";0;1;0;0;0;
2211031;"Puck (1)";1;1;2;0;0;
2211043;"Władysławowo (3)";2;4;1;5;1;
2211044;"Władysławowo - miasto (4)";2;4;1;5;1;
2211052;"Kosakowo (2)";4;0;0;0;0;
2211072;"Puck (2)";1;0;0;0;0;
2212000;"Powiat słupski";13;3;8;14;0;
2212011;"Ustka (1)";0;0;0;2;0;
2212022;"Damnica (2)";2;0;0;0;0;
2212032;"Dębnica Kaszubska (2)";1;0;0;0;0;
2212042;"Główczyce (2)";3;1;0;0;0;
2212053;"Kępice (3)";4;0;0;0;0;
2212054;"Kępice - miasto (4)";2;0;0;0;0;
2212055;"Kępice - obszar wiejski (5)";2;0;0;0;0;
2212062;"Kobylnica (2)";1;0;0;1;0;
2212072;"Potęgowo (2)";1;0;0;0;0;
2212082;"Słupsk (2)";0;2;8;11;0;
2212102;"Ustka (2)";1;0;0;0;0;
2213000;"Powiat starogardzki";8;6;3;3;0;
2213013;"Czarna Woda (3)";1;0;0;0;0;
2213014;"Czarna Woda - miasto (4)";1;0;0;0;0;
2213021;"Skórcz (1)";1;0;0;0;0;
2213031;"Starogard Gdański (1)";1;2;2;2;0;
2213062;"Lubichowo (2)";1;1;0;0;0;
2213072;"Osieczna (2)";0;0;1;0;0;
2213082;"Osiek (2)";0;1;0;0;0;
2213093;"Skarszewy (3)";1;1;0;0;0;
2213094;"Skarszewy - miasto (4)";1;1;0;0;0;
2213112;"Smętowo Graniczne (2)";2;0;0;1;0;
2213132;"Zblewo (2)";1;1;0;0;0;
2214000;"Powiat tczewski";4;2;5;3;1;
2214011;"Tczew (1)";1;0;0;3;1;
2214023;"Gniew (3)";0;1;0;0;0;
2214024;"Gniew - miasto (4)";0;1;0;0;0;
2214043;"Pelplin (3)";2;1;5;0;0;
2214044;"Pelplin - miasto (4)";2;1;2;0;0;
2214045;"Pelplin - obszar wiejski (5)";0;0;3;0;0;
2214052;"Subkowy (2)";1;0;0;0;0;
2215000;"Powiat wejherowski";12;5;2;14;1;
2215011;"Reda (1)";2;0;0;6;0;
2215021;"Rumia (1)";1;1;0;1;1;
2215031;"Wejherowo (1)";0;0;0;7;0;
2215042;"Choczewo (2)";1;0;1;0;0;
2215062;"Linia (2)";1;0;0;0;0;
2215072;"Luzino (2)";2;0;0;0;0;
2215082;"Łęczyce (2)";2;0;0;0;0;
2215092;"Szemud (2)";1;3;0;0;0;
2215102;"Wejherowo (2)";2;1;1;0;0;
2216000;"Powiat sztumski";2;0;1;3;0;
2216013;"Dzierzgoń (3)";1;0;0;0;0;
2216014;"Dzierzgoń - miasto (4)";1;0;0;0;0;
2216042;"Stary Targ (2)";0;0;1;1;0;
2216053;"Sztum (3)";1;0;0;2;0;
2216054;"Sztum - miasto (4)";1;0;0;2;0;
2261000;"Powiat m.Gdańsk";9;17;36;43;9;
2261011;"Gdańsk (1)";9;17;36;43;9;
2262000;"Powiat m.Gdynia";2;5;1;8;1;
2262011;"Gdynia (1)";2;5;1;8;1;
2263000;"Powiat m.Słupsk";3;3;1;2;1;
2263011;"Słupsk (1)";3;3;1;2;1;
2264000;"Powiat m.Sopot";5;1;1;56;3;
2264011;"Sopot (1)";5;1;1;56;3;
2400000;"ŚLĄSKIE";212;112;160;243;75;
2401000;"Powiat będziński";17;1;1;12;1;
2401011;"Będzin (1)";2;0;0;1;1;
2401021;"Czeladź (1)";2;1;0;2;0;
2401042;"Bobrowniki (2)";0;0;0;1;0;
2401052;"Mierzęcice (2)";0;0;1;0;0;
2401062;"Psary (2)";8;0;0;2;0;
2401073;"Siewierz (3)";4;0;0;6;0;
2401074;"Siewierz - miasto (4)";3;0;0;5;0;
2401075;"Siewierz - obszar wiejski (5)";1;0;0;1;0;
2401081;"Sławków (1)";1;0;0;0;0;
2402000;"Powiat bielski";16;7;3;16;4;
2402011;"Szczyrk (1)";1;2;0;3;1;
2402022;"Bestwina (2)";3;1;0;1;0;
2402032;"Buczkowice (2)";0;0;0;1;0;
2402043;"Czechowice-Dziedzice (3)";3;0;2;3;1;
2402044;"Czechowice-Dziedzice - miasto (4)";2;0;1;1;1;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";1;0;1;2;0;
2402052;"Jasienica (2)";0;1;0;1;0;
2402062;"Jaworze (2)";1;1;0;2;1;
2402072;"Kozy (2)";0;1;1;0;1;
2402082;"Porąbka (2)";1;0;0;0;0;
2402093;"Wilamowice (3)";5;0;0;0;0;
2402094;"Wilamowice - miasto (4)";1;0;0;0;0;
2402095;"Wilamowice - obszar wiejski (5)";4;0;0;0;0;
2402102;"Wilkowice (2)";2;1;0;5;0;
2403000;"Powiat cieszyński";11;6;9;24;10;
2403011;"Cieszyn (1)";1;2;4;8;1;
2403021;"Ustroń (1)";2;0;0;3;1;
2403031;"Wisła (1)";1;0;2;1;5;
2403042;"Brenna (2)";0;1;0;0;1;
2403052;"Chybie (2)";0;1;0;0;0;
2403062;"Dębowiec (2)";0;0;1;0;0;
2403072;"Goleszów (2)";0;0;0;2;0;
2403082;"Hażlach (2)";1;0;0;0;0;
2403092;"Istebna (2)";0;0;1;0;1;
2403103;"Skoczów (3)";1;0;1;4;1;
2403104;"Skoczów - miasto (4)";1;0;1;3;1;
2403105;"Skoczów - obszar wiejski (5)";0;0;0;1;0;
2403113;"Strumień (3)";3;2;0;3;0;
2403114;"Strumień - miasto (4)";3;2;0;2;0;
2403115;"Strumień - obszar wiejski (5)";0;0;0;1;0;
2403122;"Zebrzydowice (2)";2;0;0;3;0;
2404000;"Powiat częstochowski";12;7;6;4;1;
2404013;"Blachownia (3)";1;1;0;1;0;
2404014;"Blachownia - miasto (4)";1;1;0;1;0;
2404022;"Dąbrowa Zielona (2)";1;0;0;0;0;
2404032;"Janów (2)";0;0;1;0;0;
2404042;"Kamienica Polska (2)";2;1;0;0;1;
2404063;"Koniecpol (3)";1;0;1;0;0;
2404064;"Koniecpol - miasto (4)";1;0;1;0;0;
2404072;"Konopiska (2)";1;1;0;0;0;
2404092;"Lelów (2)";0;0;1;0;0;
2404102;"Mstów (2)";0;0;1;1;0;
2404112;"Mykanów (2)";0;1;0;0;0;
2404122;"Olsztyn (2)";1;1;2;0;0;
2404132;"Poczesna (2)";3;0;0;1;0;
2404152;"Rędziny (2)";2;1;0;1;0;
2404162;"Starcza (2)";0;1;0;0;0;
2405000;"Powiat gliwicki";3;2;0;6;2;
2405011;"Knurów (1)";1;1;0;1;2;
2405021;"Pyskowice (1)";1;1;0;1;0;
2405042;"Pilchowice (2)";0;0;0;1;0;
2405052;"Rudziniec (2)";1;0;0;1;0;
2405063;"Sośnicowice (3)";0;0;0;2;0;
2405064;"Sośnicowice - miasto (4)";0;0;0;2;0;
2406000;"Powiat kłobucki";15;2;0;3;1;
2406013;"Kłobuck (3)";7;0;0;1;1;
2406014;"Kłobuck - miasto (4)";2;0;0;0;1;
2406015;"Kłobuck - obszar wiejski (5)";5;0;0;1;0;
2406023;"Krzepice (3)";2;0;0;0;0;
2406024;"Krzepice - miasto (4)";2;0;0;0;0;
2406042;"Miedźno (2)";0;1;0;1;0;
2406062;"Panki (2)";1;1;0;0;0;
2406082;"Przystajń (2)";0;0;0;1;0;
2406092;"Wręczyca Wielka (2)";5;0;0;0;0;
2407000;"Powiat lubliniecki";9;0;0;1;1;
2407011;"Lubliniec (1)";1;0;0;0;0;
2407022;"Boronów (2)";1;0;0;0;0;
2407032;"Ciasna (2)";1;0;0;0;0;
2407042;"Herby (2)";4;0;0;0;1;
2407062;"Koszęcin (2)";0;0;0;1;0;
2407083;"Woźniki (3)";2;0;0;0;0;
2407084;"Woźniki - miasto (4)";2;0;0;0;0;
2408000;"Powiat mikołowski";4;2;8;5;1;
2408011;"Łaziska Górne (1)";1;1;5;2;0;
2408021;"Mikołów (1)";3;1;2;3;1;
2408031;"Orzesze (1)";0;0;1;0;0;
2409000;"Powiat myszkowski";5;0;1;4;1;
2409011;"Myszków (1)";2;0;1;1;1;
2409023;"Koziegłowy (3)";1;0;0;0;0;
2409025;"Koziegłowy - obszar wiejski (5)";1;0;0;0;0;
2409032;"Niegowa (2)";1;0;0;0;0;
2409042;"Poraj (2)";1;0;0;1;0;
2409053;"Żarki (3)";0;0;0;2;0;
2409054;"Żarki - miasto (4)";0;0;0;2;0;
2410000;"Powiat pszczyński";10;5;3;5;3;
2410012;"Goczałkowice-Zdrój (2)";0;1;0;0;1;
2410032;"Miedźna (2)";8;0;1;0;1;
2410042;"Pawłowice (2)";0;1;2;0;1;
2410053;"Pszczyna (3)";1;2;0;3;0;
2410054;"Pszczyna - miasto (4)";1;2;0;3;0;
2410062;"Suszec (2)";1;1;0;2;0;
2411000;"Powiat raciborski";13;7;22;9;3;
2411011;"Racibórz (1)";3;4;12;4;3;
2411033;"Krzanowice (3)";3;1;0;1;0;
2411034;"Krzanowice - miasto (4)";2;1;0;1;0;
2411035;"Krzanowice - obszar wiejski (5)";1;0;0;0;0;
2411053;"Kuźnia Raciborska (3)";1;1;4;3;0;
2411054;"Kuźnia Raciborska - miasto (4)";1;0;1;1;0;
2411055;"Kuźnia Raciborska - obszar wiejski (5)";0;1;3;2;0;
2411062;"Nędza (2)";1;0;5;1;0;
2411072;"Pietrowice Wielkie (2)";5;1;0;0;0;
2411082;"Rudnik (2)";0;0;1;0;0;
2412000;"Powiat rybnicki";4;0;3;1;1;
2412013;"Czerwionka-Leszczyny (3)";3;0;2;0;1;
2412014;"Czerwionka-Leszczyny - miasto (4)";3;0;2;0;1;
2412022;"Gaszowice (2)";1;0;1;0;0;
2412052;"Świerklany (2)";0;0;0;1;0;
2413000;"Powiat tarnogórski";7;4;2;9;1;
2413011;"Kalety (1)";1;0;0;0;0;
2413021;"Miasteczko Śląskie (1)";1;1;0;0;0;
2413031;"Radzionków (1)";0;1;0;2;0;
