"Kod";"Nazwa";"ogółem;2020;[ob.]";
2402043;"Czechowice-Dziedzice (3)";16;
2402044;"Czechowice-Dziedzice - miasto (4)";11;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";5;
2402052;"Jasienica (2)";8;
2402062;"Jaworze (2)";3;
2402072;"Kozy (2)";3;
2402082;"Porąbka (2)";6;
2402093;"Wilamowice (3)";5;
2402094;"Wilamowice - miasto (4)";1;
2402095;"Wilamowice - obszar wiejski (5)";4;
2402102;"Wilkowice (2)";5;
2403000;"Powiat cieszyński";66;
2403011;"Cieszyn (1)";11;
2403021;"Ustroń (1)";5;
2403031;"Wisła (1)";5;
2403042;"Brenna (2)";3;
2403052;"Chybie (2)";4;
2403062;"Dębowiec (2)";4;
2403072;"Goleszów (2)";5;
2403082;"Hażlach (2)";5;
2403092;"Istebna (2)";7;
2403103;"Skoczów (3)";8;
2403104;"Skoczów - miasto (4)";4;
2403105;"Skoczów - obszar wiejski (5)";4;
2403113;"Strumień (3)";5;
2403114;"Strumień - miasto (4)";1;
2403115;"Strumień - obszar wiejski (5)";4;
2403122;"Zebrzydowice (2)";4;
2404000;"Powiat częstochowski";75;
2404013;"Blachownia (3)";4;
2404014;"Blachownia - miasto (4)";2;
2404015;"Blachownia - obszar wiejski (5)";2;
2404022;"Dąbrowa Zielona (2)";3;
2404032;"Janów (2)";4;
2404042;"Kamienica Polska (2)";1;
2404052;"Kłomnice (2)";7;
2404063;"Koniecpol (3)";4;
2404064;"Koniecpol - miasto (4)";2;
2404065;"Koniecpol - obszar wiejski (5)";2;
2404072;"Konopiska (2)";7;
2404082;"Kruszyna (2)";4;
2404092;"Lelów (2)";4;
2404102;"Mstów (2)";8;
2404112;"Mykanów (2)";10;
2404122;"Olsztyn (2)";5;
2404132;"Poczesna (2)";5;
2404142;"Przyrów (2)";3;
2404152;"Rędziny (2)";5;
2404162;"Starcza (2)";1;
2405000;"Powiat gliwicki";41;
2405011;"Knurów (1)";9;
2405021;"Pyskowice (1)";5;
2405032;"Gierałtowice (2)";4;
2405042;"Pilchowice (2)";4;
2405052;"Rudziniec (2)";8;
2405063;"Sośnicowice (3)";4;
2405064;"Sośnicowice - miasto (4)";1;
2405065;"Sośnicowice - obszar wiejski (5)";3;
2405073;"Toszek (3)";5;
2405074;"Toszek - miasto (4)";2;
2405075;"Toszek - obszar wiejski (5)";3;
2405082;"Wielowieś (2)";2;
2406000;"Powiat kłobucki";46;
2406013;"Kłobuck (3)";9;
2406014;"Kłobuck - miasto (4)";4;
2406015;"Kłobuck - obszar wiejski (5)";5;
2406023;"Krzepice (3)";6;
2406024;"Krzepice - miasto (4)";3;
2406025;"Krzepice - obszar wiejski (5)";3;
2406032;"Lipie (2)";4;
2406042;"Miedźno (2)";3;
2406052;"Opatów (2)";6;
2406062;"Panki (2)";3;
2406072;"Popów (2)";5;
2406082;"Przystajń (2)";2;
2406092;"Wręczyca Wielka (2)";8;
2407000;"Powiat lubliniecki";37;
2407011;"Lubliniec (1)";7;
2407022;"Boronów (2)";2;
2407032;"Ciasna (2)";5;
2407042;"Herby (2)";4;
2407052;"Kochanowice (2)";3;
2407062;"Koszęcin (2)";5;
2407072;"Pawonków (2)";5;
2407083;"Woźniki (3)";6;
2407084;"Woźniki - miasto (4)";2;
2407085;"Woźniki - obszar wiejski (5)";4;
2408000;"Powiat mikołowski";33;
2408011;"Łaziska Górne (1)";6;
2408021;"Mikołów (1)";13;
2408031;"Orzesze (1)";11;
2408042;"Ornontowice (2)";1;
2408052;"Wyry (2)";2;
2409000;"Powiat myszkowski";34;
2409011;"Myszków (1)";8;
2409023;"Koziegłowy (3)";9;
2409024;"Koziegłowy - miasto (4)";1;
2409025;"Koziegłowy - obszar wiejski (5)";8;
2409032;"Niegowa (2)";8;
2409042;"Poraj (2)";5;
2409053;"Żarki (3)";4;
2409054;"Żarki - miasto (4)";1;
2409055;"Żarki - obszar wiejski (5)";3;
2410000;"Powiat pszczyński";42;
2410012;"Goczałkowice-Zdrój (2)";3;
2410022;"Kobiór (2)";1;
2410032;"Miedźna (2)";5;
2410042;"Pawłowice (2)";6;
2410053;"Pszczyna (3)";21;
2410054;"Pszczyna - miasto (4)";8;
2410055;"Pszczyna - obszar wiejski (5)";13;
2410062;"Suszec (2)";6;
2411000;"Powiat raciborski";48;
2411011;"Racibórz (1)";17;
2411022;"Kornowac (2)";4;
2411033;"Krzanowice (3)";3;
2411034;"Krzanowice - miasto (4)";1;
2411035;"Krzanowice - obszar wiejski (5)";2;
2411042;"Krzyżanowice (2)";5;
2411053;"Kuźnia Raciborska (3)";5;
2411054;"Kuźnia Raciborska - miasto (4)";2;
2411055;"Kuźnia Raciborska - obszar wiejski (5)";3;
2411062;"Nędza (2)";4;
2411072;"Pietrowice Wielkie (2)";4;
2411082;"Rudnik (2)";6;
2412000;"Powiat rybnicki";27;
2412013;"Czerwionka-Leszczyny (3)";14;
2412014;"Czerwionka-Leszczyny - miasto (4)";8;
2412015;"Czerwionka-Leszczyny - obszar wiejski (5)";6;
2412022;"Gaszowice (2)";4;
2412032;"Jejkowice (2)";1;
2412042;"Lyski (2)";5;
2412052;"Świerklany (2)";3;
2413000;"Powiat tarnogórski";53;
2413011;"Kalety (1)";3;
2413021;"Miasteczko Śląskie (1)";2;
2413031;"Radzionków (1)";7;
2413041;"Tarnowskie Góry (1)";16;
2413052;"Krupski Młyn (2)";3;
2413062;"Ożarowice (2)";4;
2413072;"Świerklaniec (2)";4;
2413082;"Tworóg (2)";4;
2413092;"Zbrosławice (2)";10;
2414000;"Powiat bieruńsko-lędziński";13;
2414011;"Bieruń (1)";2;
2414021;"Imielin (1)";2;
2414031;"Lędziny (1)";4;
2414042;"Bojszowy (2)";3;
2414052;"Chełm Śląski (2)";2;
2415000;"Powiat wodzisławski";48;
2415011;"Pszów (1)";4;
2415021;"Radlin (1)";4;
2415031;"Rydułtowy (1)";4;
2415041;"Wodzisław Śląski (1)";15;
2415052;"Godów (2)";6;
2415062;"Gorzyce (2)";8;
2415072;"Lubomia (2)";2;
2415082;"Marklowice (2)";2;
2415092;"Mszana (2)";3;
2416000;"Powiat zawierciański";46;
2416011;"Poręba (1)";2;
2416021;"Zawiercie (1)";15;
2416032;"Irządze (2)";1;
2416042;"Kroczyce (2)";3;
2416053;"Łazy (3)";8;
2416054;"Łazy - miasto (4)";2;
2416055;"Łazy - obszar wiejski (5)";6;
2416063;"Ogrodzieniec (3)";4;
2416064;"Ogrodzieniec - miasto (4)";1;
2416065;"Ogrodzieniec - obszar wiejski (5)";3;
2416073;"Pilica (3)";3;
2416074;"Pilica - miasto (4)";1;
2416075;"Pilica - obszar wiejski (5)";2;
2416083;"Szczekociny (3)";4;
2416084;"Szczekociny - miasto (4)";2;
2416085;"Szczekociny - obszar wiejski (5)";2;
2416092;"Włodowice (2)";3;
2416102;"Żarnowiec (2)";3;
2417000;"Powiat żywiecki";76;
2417011;"Żywiec (1)";14;
2417022;"Czernichów (2)";4;
2417032;"Gilowice (2)";2;
2417042;"Jeleśnia (2)";9;
2417052;"Koszarawa (2)";2;
2417062;"Lipowa (2)";5;
2417072;"Łękawica (2)";3;
2417082;"Łodygowice (2)";5;
2417092;"Milówka (2)";6;
2417102;"Radziechowy-Wieprz (2)";6;
2417112;"Rajcza (2)";6;
2417122;"Ślemień (2)";1;
2417132;"Świnna (2)";6;
2417142;"Ujsoły (2)";2;
2417152;"Węgierska Górka (2)";5;
2461000;"Powiat m.Bielsko-Biała";51;
2461011;"Bielsko-Biała (1)";51;
2462000;"Powiat m.Bytom";31;
2462011;"Bytom (1)";31;
2463000;"Powiat m.Chorzów";28;
2463011;"Chorzów (1)";28;
2464000;"Powiat m.Częstochowa";69;
2464011;"Częstochowa (1)";69;
2465000;"Powiat m.Dąbrowa Górnicza";32;
2465011;"Dąbrowa Górnicza (1)";32;
2466000;"Powiat m.Gliwice";39;
2466011;"Gliwice (1)";39;
2467000;"Powiat m.Jastrzębie-Zdrój";23;
2467011;"Jastrzębie-Zdrój (1)";23;
2468000;"Powiat m.Jaworzno";25;
2468011;"Jaworzno (1)";25;
2469000;"Powiat m.Katowice";81;
2469011;"Katowice (1)";81;
2470000;"Powiat m.Mysłowice";19;
2470011;"Mysłowice (1)";19;
2471000;"Powiat m.Piekary Śląskie";14;
2471011;"Piekary Śląskie (1)";14;
2472000;"Powiat m.Ruda Śląska";31;
2472011;"Ruda Śląska (1)";31;
2473000;"Powiat m.Rybnik";38;
2473011;"Rybnik (1)";38;
2474000;"Powiat m.Siemianowice Śląskie";14;
2474011;"Siemianowice Śląskie (1)";14;
2475000;"Powiat m.Sosnowiec";42;
2475011;"Sosnowiec (1)";42;
2476000;"Powiat m.Świętochłowice";10;
2476011;"Świętochłowice (1)";10;
2477000;"Powiat m.Tychy";28;
2477011;"Tychy (1)";28;
2478000;"Powiat m.Zabrze";47;
2478011;"Zabrze (1)";47;
2479000;"Powiat m.Żory";19;
2479011;"Żory (1)";19;
2600000;"ŚWIĘTOKRZYSKIE";552;
2601000;"Powiat buski";30;
2601013;"Busko-Zdrój (3)";12;
2601014;"Busko-Zdrój - miasto (4)";5;
2601015;"Busko-Zdrój - obszar wiejski (5)";7;
2601022;"Gnojno (2)";4;
2601033;"Nowy Korczyn (3)";3;
2601034;"Nowy Korczyn - miasto (4)";1;
2601035;"Nowy Korczyn - obszar wiejski (5)";2;
2601043;"Pacanów (3)";4;
2601044;"Pacanów - miasto (4)";1;
2601045;"Pacanów - obszar wiejski (5)";3;
2601052;"Solec-Zdrój (2)";2;
2601063;"Stopnica (3)";1;
2601064;"Stopnica - miasto (4)";1;
2601072;"Tuczępy (2)";2;
2601083;"Wiślica (3)";2;
2601084;"Wiślica - miasto (4)";1;
2601085;"Wiślica - obszar wiejski (5)";1;
2602000;"Powiat jędrzejowski";50;
2602012;"Imielno (2)";3;
2602023;"Jędrzejów (3)";15;
2602024;"Jędrzejów - miasto (4)";6;
2602025;"Jędrzejów - obszar wiejski (5)";9;
2602033;"Małogoszcz (3)";5;
2602034;"Małogoszcz - miasto (4)";1;
2602035;"Małogoszcz - obszar wiejski (5)";4;
2602042;"Nagłowice (2)";2;
2602052;"Oksa (2)";2;
2602063;"Sędziszów (3)";6;
2602064;"Sędziszów - miasto (4)";2;
2602065;"Sędziszów - obszar wiejski (5)";4;
2602072;"Słupia (2)";3;
2602082;"Sobków (2)";8;
2602092;"Wodzisław (2)";6;
2603000;"Powiat kazimierski";15;
2603012;"Bejsce (2)";2;
2603022;"Czarnocin (2)";3;
2603033;"Kazimierza Wielka (3)";6;
2603034;"Kazimierza Wielka - miasto (4)";2;
2603035;"Kazimierza Wielka - obszar wiejski (5)";4;
2603043;"Opatowiec (3)";2;
2603044;"Opatowiec - miasto (4)";1;
2603045;"Opatowiec - obszar wiejski (5)";1;
2603053;"Skalbmierz (3)";2;
2603054;"Skalbmierz - miasto (4)";1;
2603055;"Skalbmierz - obszar wiejski (5)";1;
2604000;"Powiat kielecki";116;
2604012;"Bieliny (2)";8;
2604023;"Bodzentyn (3)";7;
2604024;"Bodzentyn - miasto (4)";1;
2604025;"Bodzentyn - obszar wiejski (5)";6;
2604033;"Chęciny (3)";10;
2604034;"Chęciny - miasto (4)";1;
2604035;"Chęciny - obszar wiejski (5)";9;
2604043;"Chmielnik (3)";3;
2604044;"Chmielnik - miasto (4)";1;
2604045;"Chmielnik - obszar wiejski (5)";2;
2604053;"Daleszyce (3)";10;
2604054;"Daleszyce - miasto (4)";1;
2604055;"Daleszyce - obszar wiejski (5)";9;
2604062;"Górno (2)";8;
2604073;"Łagów (3)";4;
2604074;"Łagów - miasto (4)";1;
2604075;"Łagów - obszar wiejski (5)";3;
2604082;"Łopuszno (2)";5;
2604092;"Masłów (2)";5;
2604102;"Miedziana Góra (2)";3;
2604112;"Mniów (2)";5;
2604123;"Morawica (3)";9;
2604124;"Morawica - miasto (4)";1;
2604125;"Morawica - obszar wiejski (5)";8;
2604133;"Nowa Słupia (3)";8;
2604134;"Nowa Słupia - miasto (4)";1;
2604135;"Nowa Słupia - obszar wiejski (5)";7;
2604142;"Piekoszów (2)";8;
2604153;"Pierzchnica (3)";2;
2604154;"Pierzchnica - miasto (4)";1;
2604155;"Pierzchnica - obszar wiejski (5)";1;
2604162;"Raków (2)";5;
2604172;"Nowiny (2)";3;
2604182;"Strawczyn (2)";8;
2604192;"Zagnańsk (2)";5;
2605000;"Powiat konecki";34;
2605012;"Fałków (2)";2;
2605022;"Gowarczów (2)";1;
2605033;"Końskie (3)";12;
2605034;"Końskie - miasto (4)";3;
2605035;"Końskie - obszar wiejski (5)";9;
2605043;"Radoszyce (3)";6;
2605044;"Radoszyce - miasto (4)";1;
2605045;"Radoszyce - obszar wiejski (5)";5;
2605052;"Ruda Maleniecka (2)";1;
2605062;"Słupia Konecka (2)";3;
2605072;"Smyków (2)";2;
2605083;"Stąporków (3)";7;
2605084;"Stąporków - miasto (4)";2;
2605085;"Stąporków - obszar wiejski (5)";5;
2606000;"Powiat opatowski";30;
2606012;"Baćkowice (2)";4;
2606022;"Iwaniska (2)";5;
2606032;"Lipnik (2)";2;
2606043;"Opatów (3)";4;
2606044;"Opatów - miasto (4)";2;
2606045;"Opatów - obszar wiejski (5)";2;
2606053;"Ożarów (3)";6;
2606054;"Ożarów - miasto (4)";2;
2606055;"Ożarów - obszar wiejski (5)";4;
2606062;"Sadowie (2)";2;
2606072;"Tarłów (2)";3;
2606082;"Wojciechowice (2)";4;
2607000;"Powiat ostrowiecki";37;
2607011;"Ostrowiec Świętokrzyski (1)";20;
2607022;"Bałtów (2)";2;
2607032;"Bodzechów (2)";5;
2607043;"Ćmielów (3)";2;
2607044;"Ćmielów - miasto (4)";1;
2607045;"Ćmielów - obszar wiejski (5)";1;
2607053;"Kunów (3)";4;
2607054;"Kunów - miasto (4)";1;
2607055;"Kunów - obszar wiejski (5)";3;
2607062;"Waśniów (2)";4;
2608000;"Powiat pińczowski";25;
2608013;"Działoszyce (3)";3;
2608014;"Działoszyce - miasto (4)";1;
2608015;"Działoszyce - obszar wiejski (5)";2;
2608022;"Kije (2)";3;
2608032;"Michałów (2)";4;
2608043;"Pińczów (3)";12;
2608044;"Pińczów - miasto (4)";5;
2608045;"Pińczów - obszar wiejski (5)";7;
2608052;"Złota (2)";3;
2609000;"Powiat sandomierski";46;
2609011;"Sandomierz (1)";7;
2609022;"Dwikozy (2)";8;
2609033;"Klimontów (3)";6;
2609034;"Klimontów - miasto (4)";2;
2609035;"Klimontów - obszar wiejski (5)";4;
2609043;"Koprzywnica (3)";4;
2609044;"Koprzywnica - miasto (4)";1;
2609045;"Koprzywnica - obszar wiejski (5)";3;
2609052;"Łoniów (2)";5;
2609062;"Obrazów (2)";4;
2609072;"Samborzec (2)";6;
2609082;"Wilczyce (2)";3;
2609093;"Zawichost (3)";3;
2609094;"Zawichost - miasto (4)";2;
2609095;"Zawichost - obszar wiejski (5)";1;
2610000;"Powiat skarżyski";28;
2610011;"Skarżysko-Kamienna (1)";13;
2610022;"Bliżyn (2)";4;
2610032;"Łączna (2)";3;
2610042;"Skarżysko Kościelne (2)";5;
2610053;"Suchedniów (3)";3;
2610054;"Suchedniów - miasto (4)";2;
2610055;"Suchedniów - obszar wiejski (5)";1;
2611000;"Powiat starachowicki";42;
2611011;"Starachowice (1)";12;
2611022;"Brody (2)";10;
2611032;"Mirzec (2)";8;
2611042;"Pawłów (2)";9;
2611053;"Wąchock (3)";3;
2611054;"Wąchock - miasto (4)";1;
2611055;"Wąchock - obszar wiejski (5)";2;
2612000;"Powiat staszowski";31;
2612012;"Bogoria (2)";4;
2612022;"Łubnice (2)";4;
2612033;"Oleśnica (3)";1;
2612034;"Oleśnica - miasto (4)";1;
2612043;"Osiek (3)";5;
2612044;"Osiek - miasto (4)";1;
2612045;"Osiek - obszar wiejski (5)";4;
2612053;"Połaniec (3)";3;
2612054;"Połaniec - miasto (4)";1;
2612055;"Połaniec - obszar wiejski (5)";2;
2612062;"Rytwiany (2)";3;
2612073;"Staszów (3)";9;
2612074;"Staszów - miasto (4)";3;
2612075;"Staszów - obszar wiejski (5)";6;
2612083;"Szydłów (3)";2;
2612084;"Szydłów - miasto (4)";1;
2612085;"Szydłów - obszar wiejski (5)";1;
2613000;"Powiat włoszczowski";22;
2613012;"Kluczewsko (2)";3;
2613022;"Krasocin (2)";6;
2613032;"Moskorzew (2)";2;
2613042;"Radków (2)";1;
2613052;"Secemin (2)";2;
2613063;"Włoszczowa (3)";8;
2613064;"Włoszczowa - miasto (4)";3;
2613065;"Włoszczowa - obszar wiejski (5)";5;
2661000;"Powiat m.Kielce";46;
2661011;"Kielce (1)";46;
2800000;"WARMIŃSKO-MAZURSKIE";564;
2801000;"Powiat bartoszycki";25;
2801011;"Bartoszyce (1)";6;
2801021;"Górowo Iławeckie (1)";2;
2801032;"Bartoszyce (2)";7;
2801043;"Bisztynek (3)";3;
2801044;"Bisztynek - miasto (4)";1;
2801045;"Bisztynek - obszar wiejski (5)";2;
2801052;"Górowo Iławeckie (2)";3;
2801063;"Sępopol (3)";4;
2801064;"Sępopol - miasto (4)";1;
2801065;"Sępopol - obszar wiejski (5)";3;
2802000;"Powiat braniewski";17;
2802011;"Braniewo (1)";4;
2802022;"Braniewo (2)";2;
2802033;"Frombork (3)";1;
2802034;"Frombork - miasto (4)";1;
2802042;"Lelkowo (2)";2;
2802053;"Pieniężno (3)";4;
2802054;"Pieniężno - miasto (4)";1;
2802055;"Pieniężno - obszar wiejski (5)";3;
2802062;"Płoskinia (2)";2;
2802072;"Wilczęta (2)";2;
2803000;"Powiat działdowski";31;
2803011;"Działdowo (1)";4;
2803022;"Działdowo (2)";8;
2803032;"Iłowo-Osada (2)";3;
2803043;"Lidzbark (3)";7;
2803044;"Lidzbark - miasto (4)";2;
2803045;"Lidzbark - obszar wiejski (5)";5;
2803052;"Płośnica (2)";4;
2803062;"Rybno (2)";5;
2804000;"Powiat elbląski";24;
2804012;"Elbląg (2)";4;
2804022;"Godkowo (2)";2;
2804032;"Gronowo Elbląskie (2)";2;
2804042;"Markusy (2)";2;
2804052;"Milejewo (2)";1;
2804063;"Młynary (3)";2;
2804064;"Młynary - miasto (4)";1;
2804065;"Młynary - obszar wiejski (5)";1;
2804073;"Pasłęk (3)";5;
2804074;"Pasłęk - miasto (4)";3;
2804075;"Pasłęk - obszar wiejski (5)";2;
2804082;"Rychliki (2)";1;
2804093;"Tolkmicko (3)";5;
2804094;"Tolkmicko - miasto (4)";1;
2804095;"Tolkmicko - obszar wiejski (5)";4;
2805000;"Powiat ełcki";25;
2805011;"Ełk (1)";11;
2805022;"Ełk (2)";6;
2805032;"Kalinowo (2)";4;
2805042;"Prostki (2)";3;
2805052;"Stare Juchy (2)";1;
2806000;"Powiat giżycki";20;
2806011;"Giżycko (1)";8;
2806042;"Giżycko (2)";4;
2806052;"Kruklanki (2)";2;
2806062;"Miłki (2)";3;
2806083;"Ryn (3)";1;
2806084;"Ryn - miasto (4)";1;
2806102;"Wydminy (2)";2;
2807000;"Powiat iławski";40;
2807011;"Iława (1)";7;
2807021;"Lubawa (1)";1;
2807032;"Iława (2)";8;
2807043;"Kisielice (3)";4;
2807044;"Kisielice - miasto (4)";2;
2807045;"Kisielice - obszar wiejski (5)";2;
2807052;"Lubawa (2)";10;
2807063;"Susz (3)";6;
2807064;"Susz - miasto (4)";1;
2807065;"Susz - obszar wiejski (5)";5;
2807073;"Zalewo (3)";4;
2807074;"Zalewo - miasto (4)";1;
2807075;"Zalewo - obszar wiejski (5)";3;
2808000;"Powiat kętrzyński";20;
2808011;"Kętrzyn (1)";6;
2808022;"Barciany (2)";4;
2808032;"Kętrzyn (2)";4;
2808043;"Korsze (3)";4;
2808044;"Korsze - miasto (4)";1;
2808045;"Korsze - obszar wiejski (5)";3;
2808053;"Reszel (3)";1;
2808054;"Reszel - miasto (4)";1;
2808062;"Srokowo (2)";1;
2809000;"Powiat lidzbarski";19;
2809011;"Lidzbark Warmiński (1)";6;
2809022;"Kiwity (2)";3;
2809032;"Lidzbark Warmiński (2)";4;
2809042;"Lubomino (2)";2;
2809053;"Orneta (3)";4;
2809054;"Orneta - miasto (4)";2;
2809055;"Orneta - obszar wiejski (5)";2;
2810000;"Powiat mrągowski";22;
2810011;"Mrągowo (1)";5;
2810023;"Mikołajki (3)";5;
2810024;"Mikołajki - miasto (4)";2;
2810025;"Mikołajki - obszar wiejski (5)";3;
2810032;"Mrągowo (2)";4;
2810042;"Piecki (2)";4;
2810052;"Sorkwity (2)";4;
2811000;"Powiat nidzicki";16;
2811012;"Janowiec Kościelny (2)";2;
2811022;"Janowo (2)";2;
2811032;"Kozłowo (2)";4;
2811043;"Nidzica (3)";8;
2811044;"Nidzica - miasto (4)";5;
2811045;"Nidzica - obszar wiejski (5)";3;
2812000;"Powiat nowomiejski";26;
2812011;"Nowe Miasto Lubawskie (1)";4;
2812022;"Biskupiec (2)";7;
2812032;"Grodziczno (2)";5;
2812042;"Kurzętnik (2)";4;
2812052;"Nowe Miasto Lubawskie (2)";6;
2813000;"Powiat olecki";19;
2813032;"Kowale Oleckie (2)";3;
2813043;"Olecko (3)";11;
2813044;"Olecko - miasto (4)";8;
2813045;"Olecko - obszar wiejski (5)";3;
2813052;"Świętajno (2)";3;
2813062;"Wieliczki (2)";2;
2814000;"Powiat olsztyński";62;
2814013;"Barczewo (3)";8;
2814014;"Barczewo - miasto (4)";2;
2814015;"Barczewo - obszar wiejski (5)";6;
2814023;"Biskupiec (3)";8;
2814024;"Biskupiec - miasto (4)";3;
2814025;"Biskupiec - obszar wiejski (5)";5;
2814033;"Dobre Miasto (3)";8;
2814034;"Dobre Miasto - miasto (4)";4;
2814035;"Dobre Miasto - obszar wiejski (5)";4;
2814042;"Dywity (2)";6;
2814052;"Gietrzwałd (2)";3;
2814063;"Jeziorany (3)";4;
2814064;"Jeziorany - miasto (4)";1;
2814065;"Jeziorany - obszar wiejski (5)";3;
2814072;"Jonkowo (2)";3;
2814082;"Kolno (2)";4;
2814093;"Olsztynek (3)";8;
2814094;"Olsztynek - miasto (4)";4;
2814095;"Olsztynek - obszar wiejski (5)";4;
2814102;"Purda (2)";5;
2814112;"Stawiguda (2)";4;
2814122;"Świątki (2)";1;
2815000;"Powiat ostródzki";50;
2815011;"Ostróda (1)";9;
2815022;"Dąbrówno (2)";3;
2815032;"Grunwald (2)";6;
2815042;"Łukta (2)";2;
2815052;"Małdyty (2)";3;
2815063;"Miłakowo (3)";3;
2815064;"Miłakowo - miasto (4)";2;
2815065;"Miłakowo - obszar wiejski (5)";1;
2815073;"Miłomłyn (3)";3;
2815074;"Miłomłyn - miasto (4)";1;
2815075;"Miłomłyn - obszar wiejski (5)";2;
2815083;"Morąg (3)";12;
2815084;"Morąg - miasto (4)";4;
2815085;"Morąg - obszar wiejski (5)";8;
2815092;"Ostróda (2)";9;
2816000;"Powiat piski";26;
2816013;"Biała Piska (3)";6;
2816014;"Biała Piska - miasto (4)";1;
2816015;"Biała Piska - obszar wiejski (5)";5;
2816023;"Orzysz (3)";3;
2816024;"Orzysz - miasto (4)";1;
2816025;"Orzysz - obszar wiejski (5)";2;
2816033;"Pisz (3)";14;
2816034;"Pisz - miasto (4)";6;
2816035;"Pisz - obszar wiejski (5)";8;
2816043;"Ruciane-Nida (3)";3;
2816044;"Ruciane-Nida - miasto (4)";2;
2816045;"Ruciane-Nida - obszar wiejski (5)";1;
2817000;"Powiat szczycieński";32;
2817011;"Szczytno (1)";6;
2817022;"Dźwierzuty (2)";4;
2817032;"Jedwabno (2)";1;
2817043;"Pasym (3)";3;
2817044;"Pasym - miasto (4)";1;
2817045;"Pasym - obszar wiejski (5)";2;
2817052;"Rozogi (2)";3;
2817062;"Szczytno (2)";8;
2817072;"Świętajno (2)";4;
2817083;"Wielbark (3)";3;
2817084;"Wielbark - miasto (4)";1;
2817085;"Wielbark - obszar wiejski (5)";2;
2818000;"Powiat gołdapski";14;
2818012;"Banie Mazurskie (2)";2;
2818022;"Dubeninki (2)";2;
2818033;"Gołdap (3)";10;
2818034;"Gołdap - miasto (4)";5;
2818035;"Gołdap - obszar wiejski (5)";5;
2819000;"Powiat węgorzewski";9;
2819012;"Budry (2)";2;
2819022;"Pozezdrze (2)";1;
2819033;"Węgorzewo (3)";6;
2819034;"Węgorzewo - miasto (4)";3;
2819035;"Węgorzewo - obszar wiejski (5)";3;
2861000;"Powiat m.Elbląg";25;
2861011;"Elbląg (1)";25;
2862000;"Powiat m.Olsztyn";42;
2862011;"Olsztyn (1)";42;
3000000;"WIELKOPOLSKIE";1309;
3001000;"Powiat chodzieski";19;
3001011;"Chodzież (1)";5;
3001022;"Budzyń (2)";2;
3001032;"Chodzież (2)";5;
3001043;"Margonin (3)";4;
3001044;"Margonin - miasto (4)";1;
3001045;"Margonin - obszar wiejski (5)";3;
3001053;"Szamocin (3)";3;
3001054;"Szamocin - miasto (4)";2;
3001055;"Szamocin - obszar wiejski (5)";1;
3002000;"Powiat czarnkowsko-trzcianecki";40;
3002011;"Czarnków (1)";3;
3002022;"Czarnków (2)";8;
3002032;"Drawsko (2)";5;
3002043;"Krzyż Wielkopolski (3)";1;
3002044;"Krzyż Wielkopolski - miasto (4)";1;
3002052;"Lubasz (2)";4;
3002062;"Połajewo (2)";3;
3002073;"Trzcianka (3)";10;
3002074;"Trzcianka - miasto (4)";4;
3002075;"Trzcianka - obszar wiejski (5)";6;
3002083;"Wieleń (3)";6;
3002084;"Wieleń - miasto (4)";2;
3002085;"Wieleń - obszar wiejski (5)";4;
3003000;"Powiat gnieźnieński";54;
3003011;"Gniezno (1)";20;
3003023;"Czerniejewo (3)";2;
3003024;"Czerniejewo - miasto (4)";1;
3003025;"Czerniejewo - obszar wiejski (5)";1;
3003032;"Gniezno (2)";6;
3003042;"Kiszkowo (2)";3;
3003053;"Kłecko (3)";4;
3003054;"Kłecko - miasto (4)";3;
3003055;"Kłecko - obszar wiejski (5)";1;
3003062;"Łubowo (2)";4;
3003072;"Mieleszyn (2)";3;
3003082;"Niechanowo (2)";3;
3003093;"Trzemeszno (3)";4;
3003094;"Trzemeszno - miasto (4)";2;
3003095;"Trzemeszno - obszar wiejski (5)";2;
3003103;"Witkowo (3)";5;
3003104;"Witkowo - miasto (4)";3;
3003105;"Witkowo - obszar wiejski (5)";2;
3004000;"Powiat gostyński";27;
3004013;"Borek Wielkopolski (3)";2;
3004014;"Borek Wielkopolski - miasto (4)";1;
3004015;"Borek Wielkopolski - obszar wiejski (5)";1;
3004023;"Gostyń (3)";11;
3004024;"Gostyń - miasto (4)";5;
3004025;"Gostyń - obszar wiejski (5)";6;
3004033;"Krobia (3)";6;
3004034;"Krobia - miasto (4)";1;
3004035;"Krobia - obszar wiejski (5)";5;
3004042;"Pępowo (2)";2;
3004052;"Piaski (2)";3;
3004063;"Pogorzela (3)";1;
3004064;"Pogorzela - miasto (4)";1;
3004073;"Poniec (3)";2;
3004074;"Poniec - miasto (4)";1;
3004075;"Poniec - obszar wiejski (5)";1;
3005000;"Powiat grodziski";22;
3005012;"Granowo (2)";2;
3005023;"Grodzisk Wielkopolski (3)";8;
3005024;"Grodzisk Wielkopolski - miasto (4)";4;
3005025;"Grodzisk Wielkopolski - obszar wiejski (5)";4;
3005032;"Kamieniec (2)";3;
3005043;"Rakoniewice (3)";5;
3005044;"Rakoniewice - miasto (4)";1;
3005045;"Rakoniewice - obszar wiejski (5)";4;
3005053;"Wielichowo (3)";4;
3005054;"Wielichowo - miasto (4)";1;
3005055;"Wielichowo - obszar wiejski (5)";3;
3006000;"Powiat jarociński";35;
3006013;"Jaraczewo (3)";6;
3006014;"Jaraczewo - miasto (4)";1;
