"Kod";"Nazwa";"ludność korzystająca z sieci wodociągowej;2020;[osoba]";
2205025;"Kartuzy - obszar wiejski (5)";19756;
2205032;"Przodkowo (2)";9118;
2205042;"Sierakowice (2)";18317;
2205052;"Somonino (2)";10935;
2205062;"Stężyca (2)";9918;
2205072;"Sulęczyno (2)";5234;
2205083;"Żukowo (3)";42043;
2205084;"Żukowo - miasto (4)";6428;
2205085;"Żukowo - obszar wiejski (5)";35615;
2206000;"Powiat kościerski";62277;
2206011;"Kościerzyna (1)";23634;
2206022;"Dziemiany (2)";3483;
2206032;"Karsin (2)";4976;
2206042;"Kościerzyna (2)";11446;
2206052;"Liniewo (2)";4297;
2206062;"Lipusz (2)";3019;
2206072;"Nowa Karczma (2)";6605;
2206082;"Stara Kiszewa (2)";4817;
2207000;"Powiat kwidzyński";79665;
2207011;"Kwidzyn (1)";37949;
2207022;"Gardeja (2)";8290;
2207032;"Kwidzyn (2)";11409;
2207043;"Prabuty (3)";12475;
2207044;"Prabuty - miasto (4)";8619;
2207045;"Prabuty - obszar wiejski (5)";3856;
2207052;"Ryjewo (2)";4673;
2207062;"Sadlinki (2)";4869;
2208000;"Powiat lęborski";62480;
2208011;"Lębork (1)";34497;
2208021;"Łeba (1)";3461;
2208032;"Cewice (2)";6805;
2208042;"Nowa Wieś Lęborska (2)";12083;
2208052;"Wicko (2)";5634;
2209000;"Powiat malborski";62709;
2209011;"Malbork (1)";37889;
2209032;"Lichnowy (2)";4612;
2209042;"Malbork (2)";4657;
2209062;"Miłoradz (2)";3276;
2209073;"Nowy Staw (3)";7580;
2209074;"Nowy Staw - miasto (4)";4226;
2209075;"Nowy Staw - obszar wiejski (5)";3354;
2209082;"Stare Pole (2)";4695;
2210000;"Powiat nowodworski";34945;
2210011;"Krynica Morska (1)";1289;
2210023;"Nowy Dwór Gdański (3)";17602;
2210024;"Nowy Dwór Gdański - miasto (4)";9859;
2210025;"Nowy Dwór Gdański - obszar wiejski (5)";7743;
2210032;"Ostaszewo (2)";3206;
2210042;"Stegna (2)";9348;
2210052;"Sztutowo (2)";3500;
2211000;"Powiat pucki";85998;
2211011;"Hel (1)";3160;
2211023;"Jastarnia (3)";3622;
2211024;"Jastarnia - miasto (4)";2676;
2211025;"Jastarnia - obszar wiejski (5)";946;
2211031;"Puck (1)";10979;
2211043;"Władysławowo (3)";15163;
2211044;"Władysławowo - miasto (4)";9753;
2211045;"Władysławowo - obszar wiejski (5)";5410;
2211052;"Kosakowo (2)";16414;
2211062;"Krokowa (2)";10234;
2211072;"Puck (2)";26426;
2212000;"Powiat słupski";94476;
2212011;"Ustka (1)";15185;
2212022;"Damnica (2)";6080;
2212032;"Dębnica Kaszubska (2)";9374;
2212042;"Główczyce (2)";7817;
2212053;"Kępice (3)";7893;
2212054;"Kępice - miasto (4)";3558;
2212055;"Kępice - obszar wiejski (5)";4335;
2212062;"Kobylnica (2)";12671;
2212072;"Potęgowo (2)";6188;
2212082;"Słupsk (2)";17761;
2212092;"Smołdzino (2)";3299;
2212102;"Ustka (2)";8208;
2213000;"Powiat starogardzki";118584;
2213013;"Czarna Woda (3)";2965;
2213014;"Czarna Woda - miasto (4)";2611;
2213015;"Czarna Woda - obszar wiejski (5)";354;
2213021;"Skórcz (1)";3543;
2213031;"Starogard Gdański (1)";45259;
2213042;"Bobowo (2)";2778;
2213052;"Kaliska (2)";5113;
2213062;"Lubichowo (2)";6248;
2213072;"Osieczna (2)";2567;
2213082;"Osiek (2)";1270;
2213093;"Skarszewy (3)";14031;
2213094;"Skarszewy - miasto (4)";6924;
2213095;"Skarszewy - obszar wiejski (5)";7107;
2213102;"Skórcz (2)";4134;
2213112;"Smętowo Graniczne (2)";5029;
2213122;"Starogard Gdański (2)";14169;
2213132;"Zblewo (2)";11478;
2214000;"Powiat tczewski";112537;
2214011;"Tczew (1)";59026;
2214023;"Gniew (3)";13743;
2214024;"Gniew - miasto (4)";6421;
2214025;"Gniew - obszar wiejski (5)";7322;
2214032;"Morzeszczyn (2)";3533;
2214043;"Pelplin (3)";15420;
2214044;"Pelplin - miasto (4)";7086;
2214045;"Pelplin - obszar wiejski (5)";8334;
2214052;"Subkowy (2)";5485;
2214062;"Tczew (2)";15330;
2215000;"Powiat wejherowski";207516;
2215011;"Reda (1)";25359;
2215021;"Rumia (1)";47523;
2215031;"Wejherowo (1)";48509;
2215042;"Choczewo (2)";4184;
2215052;"Gniewino (2)";7390;
2215062;"Linia (2)";5961;
2215072;"Luzino (2)";16802;
2215082;"Łęczyce (2)";10658;
2215092;"Szemud (2)";17985;
2215102;"Wejherowo (2)";23145;
2216000;"Powiat sztumski";35394;
2216013;"Dzierzgoń (3)";8277;
2216014;"Dzierzgoń - miasto (4)";5253;
2216015;"Dzierzgoń - obszar wiejski (5)";3024;
2216022;"Mikołajki Pomorskie (2)";3179;
2216032;"Stary Dzierzgoń (2)";3591;
2216042;"Stary Targ (2)";3999;
2216053;"Sztum (3)";16348;
2216054;"Sztum - miasto (4)";9728;
2216055;"Sztum - obszar wiejski (5)";6620;
2261000;"Powiat m.Gdańsk";470805;
2261011;"Gdańsk (1)";470805;
2262000;"Powiat m.Gdynia";240601;
2262011;"Gdynia (1)";240601;
2263000;"Powiat m.Słupsk";88340;
2263011;"Słupsk (1)";88340;
2264000;"Powiat m.Sopot";35276;
2264011;"Sopot (1)";35276;
2400000;"ŚLĄSKIE";4307222;
2401000;"Powiat będziński";146873;
2401011;"Będzin (1)";55954;
2401021;"Czeladź (1)";30918;
2401031;"Wojkowice (1)";8868;
2401042;"Bobrowniki (2)";12013;
2401052;"Mierzęcice (2)";7562;
2401062;"Psary (2)";12250;
2401073;"Siewierz (3)";12380;
2401074;"Siewierz - miasto (4)";5539;
2401075;"Siewierz - obszar wiejski (5)";6841;
2401081;"Sławków (1)";6928;
2402000;"Powiat bielski";143980;
2402011;"Szczyrk (1)";2819;
2402022;"Bestwina (2)";11394;
2402032;"Buczkowice (2)";5121;
2402043;"Czechowice-Dziedzice (3)";45452;
2402044;"Czechowice-Dziedzice - miasto (4)";35806;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";9646;
2402052;"Jasienica (2)";20069;
2402062;"Jaworze (2)";5055;
2402072;"Kozy (2)";11693;
2402082;"Porąbka (2)";13436;
2402093;"Wilamowice (3)";17259;
2402094;"Wilamowice - miasto (4)";3105;
2402095;"Wilamowice - obszar wiejski (5)";14154;
2402102;"Wilkowice (2)";11682;
2403000;"Powiat cieszyński";146623;
2403011;"Cieszyn (1)";33362;
2403021;"Ustroń (1)";12524;
2403031;"Wisła (1)";5107;
2403042;"Brenna (2)";4095;
2403052;"Chybie (2)";9744;
2403062;"Dębowiec (2)";5732;
2403072;"Goleszów (2)";9040;
2403082;"Hażlach (2)";10908;
2403092;"Istebna (2)";5554;
2403103;"Skoczów (3)";26660;
2403104;"Skoczów - miasto (4)";14012;
2403105;"Skoczów - obszar wiejski (5)";12648;
2403113;"Strumień (3)";12712;
2403114;"Strumień - miasto (4)";3543;
2403115;"Strumień - obszar wiejski (5)";9169;
2403122;"Zebrzydowice (2)";11185;
2404000;"Powiat częstochowski";122845;
2404013;"Blachownia (3)";12217;
2404014;"Blachownia - miasto (4)";9003;
2404015;"Blachownia - obszar wiejski (5)";3214;
2404022;"Dąbrowa Zielona (2)";3305;
2404032;"Janów (2)";5576;
2404042;"Kamienica Polska (2)";4817;
2404052;"Kłomnice (2)";11704;
2404063;"Koniecpol (3)";6844;
2404064;"Koniecpol - miasto (4)";4672;
2404065;"Koniecpol - obszar wiejski (5)";2172;
2404072;"Konopiska (2)";9528;
2404082;"Kruszyna (2)";4687;
2404092;"Lelów (2)";4323;
2404102;"Mstów (2)";10835;
2404112;"Mykanów (2)";13579;
2404122;"Olsztyn (2)";7828;
2404132;"Poczesna (2)";12339;
2404142;"Przyrów (2)";3098;
2404152;"Rędziny (2)";9617;
2404162;"Starcza (2)";2548;
2405000;"Powiat gliwicki";114826;
2405011;"Knurów (1)";37768;
2405021;"Pyskowice (1)";18439;
2405032;"Gierałtowice (2)";12252;
2405042;"Pilchowice (2)";11615;
2405052;"Rudziniec (2)";10680;
2405063;"Sośnicowice (3)";8897;
2405064;"Sośnicowice - miasto (4)";1925;
2405065;"Sośnicowice - obszar wiejski (5)";6972;
2405073;"Toszek (3)";9355;
2405074;"Toszek - miasto (4)";3569;
2405075;"Toszek - obszar wiejski (5)";5786;
2405082;"Wielowieś (2)";5820;
2406000;"Powiat kłobucki";80554;
2406013;"Kłobuck (3)";19067;
2406014;"Kłobuck - miasto (4)";12129;
2406015;"Kłobuck - obszar wiejski (5)";6938;
2406023;"Krzepice (3)";9001;
2406024;"Krzepice - miasto (4)";4357;
2406025;"Krzepice - obszar wiejski (5)";4644;
2406032;"Lipie (2)";5863;
2406042;"Miedźno (2)";7138;
2406052;"Opatów (2)";6374;
2406062;"Panki (2)";4645;
2406072;"Popów (2)";5546;
2406082;"Przystajń (2)";5629;
2406092;"Wręczyca Wielka (2)";17291;
2407000;"Powiat lubliniecki";72207;
2407011;"Lubliniec (1)";21760;
2407022;"Boronów (2)";3437;
2407032;"Ciasna (2)";7273;
2407042;"Herby (2)";6713;
2407052;"Kochanowice (2)";6039;
2407062;"Koszęcin (2)";11725;
2407072;"Pawonków (2)";5953;
2407083;"Woźniki (3)";9307;
2407084;"Woźniki - miasto (4)";4141;
2407085;"Woźniki - obszar wiejski (5)";5166;
2408000;"Powiat mikołowski";98132;
2408011;"Łaziska Górne (1)";22128;
2408021;"Mikołów (1)";40229;
2408031;"Orzesze (1)";21193;
2408042;"Ornontowice (2)";6174;
2408052;"Wyry (2)";8408;
2409000;"Powiat myszkowski";64132;
2409011;"Myszków (1)";28366;
2409023;"Koziegłowy (3)";12674;
2409024;"Koziegłowy - miasto (4)";1961;
2409025;"Koziegłowy - obszar wiejski (5)";10713;
2409032;"Niegowa (2)";5599;
2409042;"Poraj (2)";9962;
2409053;"Żarki (3)";7531;
2409054;"Żarki - miasto (4)";4136;
2409055;"Żarki - obszar wiejski (5)";3395;
2410000;"Powiat pszczyński";111294;
2410012;"Goczałkowice-Zdrój (2)";6651;
2410022;"Kobiór (2)";4906;
2410032;"Miedźna (2)";16645;
2410042;"Pawłowice (2)";18152;
2410053;"Pszczyna (3)";52778;
2410054;"Pszczyna - miasto (4)";25677;
2410055;"Pszczyna - obszar wiejski (5)";27101;
2410062;"Suszec (2)";12162;
2411000;"Powiat raciborski";105412;
2411011;"Racibórz (1)";53767;
2411022;"Kornowac (2)";4495;
2411033;"Krzanowice (3)";5346;
2411034;"Krzanowice - miasto (4)";2090;
2411035;"Krzanowice - obszar wiejski (5)";3256;
2411042;"Krzyżanowice (2)";11135;
2411053;"Kuźnia Raciborska (3)";11632;
2411054;"Kuźnia Raciborska - miasto (4)";5228;
2411055;"Kuźnia Raciborska - obszar wiejski (5)";6404;
2411062;"Nędza (2)";7202;
2411072;"Pietrowice Wielkie (2)";6697;
2411082;"Rudnik (2)";5138;
2412000;"Powiat rybnicki";76553;
2412013;"Czerwionka-Leszczyny (3)";41232;
2412014;"Czerwionka-Leszczyny - miasto (4)";27317;
2412015;"Czerwionka-Leszczyny - obszar wiejski (5)";13915;
2412022;"Gaszowice (2)";9844;
2412032;"Jejkowice (2)";4152;
2412042;"Lyski (2)";8797;
2412052;"Świerklany (2)";12528;
2413000;"Powiat tarnogórski";138995;
2413011;"Kalety (1)";8171;
2413021;"Miasteczko Śląskie (1)";7338;
2413031;"Radzionków (1)";16659;
2413041;"Tarnowskie Góry (1)";60943;
2413052;"Krupski Młyn (2)";3053;
2413062;"Ożarowice (2)";5800;
2413072;"Świerklaniec (2)";12502;
2413082;"Tworóg (2)";8267;
2413092;"Zbrosławice (2)";16262;
2414000;"Powiat bieruńsko-lędziński";59406;
2414011;"Bieruń (1)";19240;
2414021;"Imielin (1)";9259;
2414031;"Lędziny (1)";16714;
2414042;"Bojszowy (2)";7794;
2414052;"Chełm Śląski (2)";6399;
2415000;"Powiat wodzisławski";152503;
2415011;"Pszów (1)";13719;
2415021;"Radlin (1)";17573;
2415031;"Rydułtowy (1)";21373;
2415041;"Wodzisław Śląski (1)";46336;
2415052;"Godów (2)";12294;
2415062;"Gorzyce (2)";21324;
2415072;"Lubomia (2)";7258;
2415082;"Marklowice (2)";5412;
2415092;"Mszana (2)";7214;
2416000;"Powiat zawierciański";112170;
2416011;"Poręba (1)";8456;
2416021;"Zawiercie (1)";48227;
2416032;"Irządze (2)";2412;
2416042;"Kroczyce (2)";6233;
2416053;"Łazy (3)";15835;
2416054;"Łazy - miasto (4)";6737;
2416055;"Łazy - obszar wiejski (5)";9098;
2416063;"Ogrodzieniec (3)";9007;
2416064;"Ogrodzieniec - miasto (4)";4239;
2416065;"Ogrodzieniec - obszar wiejski (5)";4768;
2416073;"Pilica (3)";8013;
2416074;"Pilica - miasto (4)";1845;
2416075;"Pilica - obszar wiejski (5)";6168;
2416083;"Szczekociny (3)";4759;
2416084;"Szczekociny - miasto (4)";1640;
2416085;"Szczekociny - obszar wiejski (5)";3119;
2416092;"Włodowice (2)";5198;
2416102;"Żarnowiec (2)";4030;
2417000;"Powiat żywiecki";92321;
2417011;"Żywiec (1)";27370;
2417022;"Czernichów (2)";2975;
2417032;"Gilowice (2)";4016;
2417042;"Jeleśnia (2)";5839;
2417062;"Lipowa (2)";8382;
2417072;"Łękawica (2)";2870;
2417082;"Łodygowice (2)";14484;
2417092;"Milówka (2)";3447;
2417102;"Radziechowy-Wieprz (2)";8374;
2417112;"Rajcza (2)";752;
2417122;"Ślemień (2)";1314;
2417132;"Świnna (2)";3366;
2417152;"Węgierska Górka (2)";9132;
2461000;"Powiat m.Bielsko-Biała";166436;
2461011;"Bielsko-Biała (1)";166436;
2462000;"Powiat m.Bytom";163237;
2462011;"Bytom (1)";163237;
2463000;"Powiat m.Chorzów";106817;
2463011;"Chorzów (1)";106817;
2464000;"Powiat m.Częstochowa";209609;
2464011;"Częstochowa (1)";209609;
2465000;"Powiat m.Dąbrowa Górnicza";117402;
2465011;"Dąbrowa Górnicza (1)";117402;
2466000;"Powiat m.Gliwice";173185;
2466011;"Gliwice (1)";173185;
2467000;"Powiat m.Jastrzębie-Zdrój";87959;
2467011;"Jastrzębie-Zdrój (1)";87959;
2468000;"Powiat m.Jaworzno";89293;
2468011;"Jaworzno (1)";89293;
2469000;"Powiat m.Katowice";286166;
2469011;"Katowice (1)";286166;
2470000;"Powiat m.Mysłowice";74496;
2470011;"Mysłowice (1)";74496;
2471000;"Powiat m.Piekary Śląskie";54636;
2471011;"Piekary Śląskie (1)";54636;
2472000;"Powiat m.Ruda Śląska";135200;
2472011;"Ruda Śląska (1)";135200;
2473000;"Powiat m.Rybnik";133433;
2473011;"Rybnik (1)";133433;
2474000;"Powiat m.Siemianowice Śląskie";66210;
2474011;"Siemianowice Śląskie (1)";66210;
2475000;"Powiat m.Sosnowiec";197539;
2475011;"Sosnowiec (1)";197539;
2476000;"Powiat m.Świętochłowice";49040;
2476011;"Świętochłowice (1)";49040;
2477000;"Powiat m.Tychy";126838;
2477011;"Tychy (1)";126838;
2478000;"Powiat m.Zabrze";168068;
2478011;"Zabrze (1)";168068;
2479000;"Powiat m.Żory";62832;
2479011;"Żory (1)";62832;
2600000;"ŚWIĘTOKRZYSKIE";1122032;
2601000;"Powiat buski";64830;
2601013;"Busko-Zdrój (3)";29775;
2601014;"Busko-Zdrój - miasto (4)";15247;
2601015;"Busko-Zdrój - obszar wiejski (5)";14528;
2601022;"Gnojno (2)";3440;
2601033;"Nowy Korczyn (3)";4908;
2601034;"Nowy Korczyn - miasto (4)";894;
2601035;"Nowy Korczyn - obszar wiejski (5)";4014;
2601043;"Pacanów (3)";6215;
2601044;"Pacanów - miasto (4)";861;
2601045;"Pacanów - obszar wiejski (5)";5354;
2601052;"Solec-Zdrój (2)";4650;
2601063;"Stopnica (3)";6887;
2601064;"Stopnica - miasto (4)";1407;
2601065;"Stopnica - obszar wiejski (5)";5480;
2601072;"Tuczępy (2)";3675;
2601083;"Wiślica (3)";5280;
2601084;"Wiślica - miasto (4)";493;
2601085;"Wiślica - obszar wiejski (5)";4787;
2602000;"Powiat jędrzejowski";66034;
2602012;"Imielno (2)";3558;
2602023;"Jędrzejów (3)";21285;
2602024;"Jędrzejów - miasto (4)";13674;
2602025;"Jędrzejów - obszar wiejski (5)";7611;
2602033;"Małogoszcz (3)";10860;
2602034;"Małogoszcz - miasto (4)";3593;
2602035;"Małogoszcz - obszar wiejski (5)";7267;
2602042;"Nagłowice (2)";1732;
2602052;"Oksa (2)";4057;
2602063;"Sędziszów (3)";9877;
2602064;"Sędziszów - miasto (4)";5841;
2602065;"Sędziszów - obszar wiejski (5)";4036;
2602072;"Słupia (2)";1027;
2602082;"Sobków (2)";8110;
2602092;"Wodzisław (2)";5528;
2603000;"Powiat kazimierski";26700;
2603012;"Bejsce (2)";3020;
2603022;"Czarnocin (2)";3581;
2603033;"Kazimierza Wielka (3)";11371;
2603034;"Kazimierza Wielka - miasto (4)";5138;
2603035;"Kazimierza Wielka - obszar wiejski (5)";6233;
2603043;"Opatowiec (3)";2669;
2603044;"Opatowiec - miasto (4)";283;
2603045;"Opatowiec - obszar wiejski (5)";2386;
2603053;"Skalbmierz (3)";6059;
2603054;"Skalbmierz - miasto (4)";1262;
2603055;"Skalbmierz - obszar wiejski (5)";4797;
2604000;"Powiat kielecki";202694;
2604012;"Bieliny (2)";10237;
2604023;"Bodzentyn (3)";10189;
2604024;"Bodzentyn - miasto (4)";2189;
2604025;"Bodzentyn - obszar wiejski (5)";8000;
2604033;"Chęciny (3)";15016;
2604034;"Chęciny - miasto (4)";4390;
2604035;"Chęciny - obszar wiejski (5)";10626;
2604043;"Chmielnik (3)";11060;
2604044;"Chmielnik - miasto (4)";3595;
2604045;"Chmielnik - obszar wiejski (5)";7465;
2604053;"Daleszyce (3)";15504;
2604054;"Daleszyce - miasto (4)";2783;
2604055;"Daleszyce - obszar wiejski (5)";12721;
2604062;"Górno (2)";14326;
2604073;"Łagów (3)";5797;
2604074;"Łagów - miasto (4)";1318;
2604075;"Łagów - obszar wiejski (5)";4479;
2604082;"Łopuszno (2)";8820;
2604092;"Masłów (2)";9176;
2604102;"Miedziana Góra (2)";11540;
2604112;"Mniów (2)";8916;
2604123;"Morawica (3)";16661;
2604124;"Morawica - miasto (4)";1684;
2604125;"Morawica - obszar wiejski (5)";14977;
2604133;"Nowa Słupia (3)";8473;
2604134;"Nowa Słupia - miasto (4)";1085;
2604135;"Nowa Słupia - obszar wiejski (5)";7388;
2604142;"Piekoszów (2)";16422;
2604153;"Pierzchnica (3)";4391;
2604154;"Pierzchnica - miasto (4)";1097;
2604155;"Pierzchnica - obszar wiejski (5)";3294;
2604162;"Raków (2)";5126;
2604172;"Nowiny (2)";7868;
2604182;"Strawczyn (2)";10954;
2604192;"Zagnańsk (2)";12218;
2605000;"Powiat konecki";68598;
2605012;"Fałków (2)";3645;
2605022;"Gowarczów (2)";4488;
2605033;"Końskie (3)";31215;
2605034;"Końskie - miasto (4)";18021;
2605035;"Końskie - obszar wiejski (5)";13194;
2605043;"Radoszyce (3)";7619;
2605044;"Radoszyce - miasto (4)";2790;
2605045;"Radoszyce - obszar wiejski (5)";4829;
2605052;"Ruda Maleniecka (2)";2677;
2605062;"Słupia Konecka (2)";2847;
2605072;"Smyków (2)";3493;
2605083;"Stąporków (3)";12614;
2605084;"Stąporków - miasto (4)";4985;
2605085;"Stąporków - obszar wiejski (5)";7629;
2606000;"Powiat opatowski";43113;
2606012;"Baćkowice (2)";4325;
2606022;"Iwaniska (2)";4910;
2606032;"Lipnik (2)";4541;
2606043;"Opatów (3)";9336;
2606044;"Opatów - miasto (4)";5706;
2606045;"Opatów - obszar wiejski (5)";3630;
2606053;"Ożarów (3)";9627;
2606054;"Ożarów - miasto (4)";4337;
2606055;"Ożarów - obszar wiejski (5)";5290;
2606062;"Sadowie (2)";2571;
2606072;"Tarłów (2)";3999;
2606082;"Wojciechowice (2)";3804;
2607000;"Powiat ostrowiecki";102549;
2607011;"Ostrowiec Świętokrzyski (1)";66536;
2607022;"Bałtów (2)";2720;
2607032;"Bodzechów (2)";11790;
2607043;"Ćmielów (3)";6186;
2607044;"Ćmielów - miasto (4)";2545;
2607045;"Ćmielów - obszar wiejski (5)";3641;
2607053;"Kunów (3)";9544;
2607054;"Kunów - miasto (4)";2702;
2607055;"Kunów - obszar wiejski (5)";6842;
2607062;"Waśniów (2)";5773;
2608000;"Powiat pińczowski";35460;
2608013;"Działoszyce (3)";4831;
2608014;"Działoszyce - miasto (4)";901;
2608015;"Działoszyce - obszar wiejski (5)";3930;
2608022;"Kije (2)";4102;
2608032;"Michałów (2)";3424;
2608043;"Pińczów (3)";19031;
2608044;"Pińczów - miasto (4)";10429;
2608045;"Pińczów - obszar wiejski (5)";8602;
2608052;"Złota (2)";4072;
2609000;"Powiat sandomierski";67072;
2609011;"Sandomierz (1)";21278;
2609022;"Dwikozy (2)";7670;
2609033;"Klimontów (3)";4863;
2609034;"Klimontów - miasto (4)";1725;
2609035;"Klimontów - obszar wiejski (5)";3138;
2609043;"Koprzywnica (3)";5919;
2609044;"Koprzywnica - miasto (4)";2430;
2609045;"Koprzywnica - obszar wiejski (5)";3489;
2609052;"Łoniów (2)";7087;
2609062;"Obrazów (2)";6187;
2609072;"Samborzec (2)";7400;
2609082;"Wilczyce (2)";2984;
2609093;"Zawichost (3)";3684;
2609094;"Zawichost - miasto (4)";1462;
2609095;"Zawichost - obszar wiejski (5)";2222;
2610000;"Powiat skarżyski";70581;
2610011;"Skarżysko-Kamienna (1)";42758;
2610022;"Bliżyn (2)";7883;
2610032;"Łączna (2)";4867;
2610042;"Skarżysko Kościelne (2)";5356;
2610053;"Suchedniów (3)";9717;
2610054;"Suchedniów - miasto (4)";8067;
2610055;"Suchedniów - obszar wiejski (5)";1650;
2611000;"Powiat starachowicki";84753;
2611011;"Starachowice (1)";46134;
2611022;"Brody (2)";9817;
2611032;"Mirzec (2)";7849;
2611042;"Pawłów (2)";15139;
2611053;"Wąchock (3)";5814;
2611054;"Wąchock - miasto (4)";2236;
2611055;"Wąchock - obszar wiejski (5)";3578;
2612000;"Powiat staszowski";66301;
2612012;"Bogoria (2)";7199;
2612022;"Łubnice (2)";3919;
2612033;"Oleśnica (3)";3738;
2612034;"Oleśnica - miasto (4)";1761;
2612035;"Oleśnica - obszar wiejski (5)";1977;
2612043;"Osiek (3)";7616;
2612044;"Osiek - miasto (4)";1970;
2612045;"Osiek - obszar wiejski (5)";5646;
2612053;"Połaniec (3)";11679;
2612054;"Połaniec - miasto (4)";7985;
2612055;"Połaniec - obszar wiejski (5)";3694;
2612062;"Rytwiany (2)";5371;
2612073;"Staszów (3)";22856;
2612074;"Staszów - miasto (4)";14524;
2612075;"Staszów - obszar wiejski (5)";8332;
2612083;"Szydłów (3)";3923;
2612084;"Szydłów - miasto (4)";999;
2612085;"Szydłów - obszar wiejski (5)";2924;
2613000;"Powiat włoszczowski";37733;
2613012;"Kluczewsko (2)";4396;
2613022;"Krasocin (2)";9829;
2613032;"Moskorzew (2)";1065;
2613042;"Radków (2)";1980;
2613052;"Secemin (2)";4092;
2613063;"Włoszczowa (3)";16371;
2613064;"Włoszczowa - miasto (4)";9152;
2613065;"Włoszczowa - obszar wiejski (5)";7219;
2661000;"Powiat m.Kielce";185614;
2661011;"Kielce (1)";185614;
2800000;"WARMIŃSKO-MAZURSKIE";1346553;
2801000;"Powiat bartoszycki";54051;
2801011;"Bartoszyce (1)";22596;
2801021;"Górowo Iławeckie (1)";3886;
2801032;"Bartoszyce (2)";10490;
2801043;"Bisztynek (3)";5596;
2801044;"Bisztynek - miasto (4)";2327;
2801045;"Bisztynek - obszar wiejski (5)";3269;
2801052;"Górowo Iławeckie (2)";6050;
2801063;"Sępopol (3)";5433;
2801064;"Sępopol - miasto (4)";1883;
2801065;"Sępopol - obszar wiejski (5)";3550;
2802000;"Powiat braniewski";37492;
2802011;"Braniewo (1)";16953;
2802022;"Braniewo (2)";5385;
2802033;"Frombork (3)";3502;
2802034;"Frombork - miasto (4)";2305;
2802035;"Frombork - obszar wiejski (5)";1197;
2802042;"Lelkowo (2)";2420;
2802053;"Pieniężno (3)";4539;
2802054;"Pieniężno - miasto (4)";2678;
2802055;"Pieniężno - obszar wiejski (5)";1861;
2802062;"Płoskinia (2)";2056;
2802072;"Wilczęta (2)";2637;
2803000;"Powiat działdowski";60457;
2803011;"Działdowo (1)";20940;
2803022;"Działdowo (2)";8167;
2803032;"Iłowo-Osada (2)";7166;
2803043;"Lidzbark (3)";12526;
2803044;"Lidzbark - miasto (4)";7631;
2803045;"Lidzbark - obszar wiejski (5)";4895;
2803052;"Płośnica (2)";5110;
2803062;"Rybno (2)";6548;
2804000;"Powiat elbląski";53989;
2804012;"Elbląg (2)";7008;
2804022;"Godkowo (2)";2793;
2804032;"Gronowo Elbląskie (2)";5100;
2804042;"Markusy (2)";3902;
2804052;"Milejewo (2)";3157;
2804063;"Młynary (3)";4271;
2804064;"Młynary - miasto (4)";1761;
2804065;"Młynary - obszar wiejski (5)";2510;
2804073;"Pasłęk (3)";18052;
2804074;"Pasłęk - miasto (4)";12106;
2804075;"Pasłęk - obszar wiejski (5)";5946;
2804082;"Rychliki (2)";3416;
2804093;"Tolkmicko (3)";6290;
2804094;"Tolkmicko - miasto (4)";2641;
2804095;"Tolkmicko - obszar wiejski (5)";3649;
2805000;"Powiat ełcki";86847;
2805011;"Ełk (1)";61065;
2805022;"Ełk (2)";10077;
2805032;"Kalinowo (2)";5785;
2805042;"Prostki (2)";6859;
2805052;"Stare Juchy (2)";3061;
2806000;"Powiat giżycki";53492;
2806011;"Giżycko (1)";28303;
2806042;"Giżycko (2)";8625;
2806052;"Kruklanki (2)";3011;
2806062;"Miłki (2)";3126;
2806083;"Ryn (3)";5549;
2806084;"Ryn - miasto (4)";2772;
2806085;"Ryn - obszar wiejski (5)";2777;
2806102;"Wydminy (2)";4878;
2807000;"Powiat iławski";89556;
2807011;"Iława (1)";32151;
2807021;"Lubawa (1)";10320;
2807032;"Iława (2)";12889;
2807043;"Kisielice (3)";5882;
2807044;"Kisielice - miasto (4)";2079;
2807045;"Kisielice - obszar wiejski (5)";3803;
2807052;"Lubawa (2)";10715;
2807063;"Susz (3)";12140;
2807064;"Susz - miasto (4)";5528;
2807065;"Susz - obszar wiejski (5)";6612;
2807073;"Zalewo (3)";5459;
2807074;"Zalewo - miasto (4)";2104;
2807075;"Zalewo - obszar wiejski (5)";3355;
2808000;"Powiat kętrzyński";58567;
2808011;"Kętrzyn (1)";26760;
2808022;"Barciany (2)";4938;
2808032;"Kętrzyn (2)";6919;
2808043;"Korsze (3)";9524;
2808044;"Korsze - miasto (4)";4143;
2808045;"Korsze - obszar wiejski (5)";5381;
2808053;"Reszel (3)";7011;
2808054;"Reszel - miasto (4)";4379;
2808055;"Reszel - obszar wiejski (5)";2632;
2808062;"Srokowo (2)";3415;
2809000;"Powiat lidzbarski";38312;
2809011;"Lidzbark Warmiński (1)";15266;
2809022;"Kiwity (2)";2777;
2809032;"Lidzbark Warmiński (2)";5217;
2809042;"Lubomino (2)";3453;
2809053;"Orneta (3)";11599;
2809054;"Orneta - miasto (4)";8566;
2809055;"Orneta - obszar wiejski (5)";3033;
2810000;"Powiat mrągowski";49012;
2810011;"Mrągowo (1)";21280;
2810023;"Mikołajki (3)";7943;
2810024;"Mikołajki - miasto (4)";3736;
2810025;"Mikołajki - obszar wiejski (5)";4207;
2810032;"Mrągowo (2)";8021;
2810042;"Piecki (2)";7401;
2810052;"Sorkwity (2)";4367;
2811000;"Powiat nidzicki";29583;
